cytoband	13q14.2	1p36.31	9p21.3	4q35.1	8p23.2	6q27	19p13.3	17p13.1	10q23.31	16q23.1	2q22.1	12q24.33	14q23.3	3p13	1p36.11	14q32.33	12p12.1	10q26.13	4q21.3	11q23.3	17p11.2	2q37.3	11q14.1	18q21.2	8p12	20p12.1	15q26.3	4q24	22q13.32	Xq26.2	9q31.3	4p16.3	22q12.1	7q36.3	
		C1orf222					RN7SL84P	SNORD118				SNORA49			SNORD85	IGHJ3		MGMT	RN7SL681P	MIR3167		MIR4440		ZNF516			LINS	RN7SL55P	C22orf26		snoU13|ENSG00000238824.1	RN7SL315P		RN7SL811P	
		TMEM240					PIAS4	TMEM107				RNA5SP378			SNORD103B	IGHJ4		NPS	RN7SKP96	snoU13|ENSG00000238855.1		FAM132B		SMIM21			RNA5SP402	SNORD112|ENSG00000252566.1	LINC00899		SNORD62	snoU13|ENSG00000238536.1		SNORA26|ENSG00000212590.1	
		RN7SL657P					SNORD37|ENSG00000206775.1	snoU13|ENSG00000238676.1				RNA5SP377			SNORD103A	IGHJ5		SNORD60|ENSG00000199321.1	MIR4451	RN7SL351P		SNORD39|ENSG00000263723.1		ZADH2			RN7SL484P	GIMD1	MIR4762		CLIC3	SNORA75|ENSG00000206780.1		snoU13|ENSG00000238557.1	
		TAS1R3					MIR637	SCARNA21|ENSG00000252835.1				RNA5SP376			SDC3	IGHJ6		RNA5SP328	RN7SKP48	KRT18P59		RBM44		RN7SL551P			DKFZP779J2370	RN7SL89P	MIR1249		C9orf141	ZEB2P1		RNA5SP250	
		RNF223					RN7SL202P	RPL29P2				RAN			RN7SKP91	IGHM		MIR4296	RN7SL552P	SLC37A2		COPS8		RN7SL401P			MIR4714	SNORA31|ENSG00000252136.1	LINC00229		MIR4479	CD38		FABP5P3	
		FAM41C					SNORD38|ENSG00000252408.1	snoU13|ENSG00000251860.1				snoU13|ENSG00000238822.1			MIR4420	IGHD		METTL10	MRPS18C	RNA5SP352		RN7SL204P		MIR548AV			RNA5SP401	TACR3	ACR		C9orf172	FAM200B		snoU13|ENSG00000239045.1	
		FAM87B					FZR1	SNORD10				RN7SL534P			SCARNA24|ENSG00000252777.1	IGHG3		GPR26	snoR442|ENSG00000252834.1	TBRG1		AGXT		RNA5SP460			RN7SL677P	BDH2	CHKB		MIR4292	RN7SKP170		RN7SL76P	
		OR4F5					RN7SL866P	SNORA48|ENSG00000209582.1				snoU13|ENSG00000238895.1			RNU11	IGHG1		MIR3941	MIR575	OR10D3		KIF1A		RN7SL795P			RN7SKP181	CISD2	CPT1B		LCN10	SNORA63|ENSG00000202449.1		MIR3907	
		FAM138A					GNA11	SNORA67|ENSG00000264772.2				MIR3612			RAB42	IGHA1		RN7SKP167	LINC00575	U8|ENSG00000200496.1		BOK		snoU13|ENSG00000238988.1			RN7SKP254	snoU13|ENSG00000238948.1	TYMP		LCN6	LINC00504		MIR671	
		DDX11L1					ZNF554	SLC35G6				TMEM132C			SNORD99	IGHG2		RN7SL846P	SNORD42|ENSG00000202440.1	SNORD14C		COL6A3		RN7SL705P			MIR1469	RN7SL728P	FBLN1		SNHG7	HSP90AB2P		IQCA1P1	
		CDK11B					SPPL2B	GABARAP				LINC00508			SNHG12	IGHG4		TIAL1	HNRNPD	SNORD14D		DTYMK		RNF152			LINC00924	MIR1255A	PPARA		FAM69B	RNA5SP156		CDK5	
		DFFB					LINGO3	ALOX12P2				LINC00507			snoU13|ENSG00000238821.1	IGHE		MIR4681	SNORA31|ENSG00000252762.1	SNORD14E		GBX2		RN7SL342P			MIR3175	ADH1B	MAPK11		MIR126	HS3ST1		SSPO	
		DVL1					MIR4321	TEKT1				LINC00944			SNORA73B	IGHA2		RN7SL749P	SNORA75|ENSG00000212620.1	snoU13|ENSG00000239079.1		GPC1		OACYLP			RN7SL599P	PCNAP1	MAPK12		U3|ENSG00000252440.1	CLNK		SNORD112|ENSG00000252557.1	
		GABRD					MIR1227	C17orf100				LINC00943			RNU6ATAC27P	CRIP1		FAM45A	OR7E94P	RNU4ATAC5P		GPR35		U8|ENSG00000199713.1			LINC00930	MIR3684	SBF1		MIR4673	RNA5SP155		RN7SL521P	
		GNB1					RN7SL226P	RNA5SP435				LINC00939			RN7SL559P	C14orf79		SNORA19|ENSG00000222588.1	LINC00989	RNU4ATAC10P		HDLBP		RN7SL112P			snoU109|ENSG00000239197.1	EIF4E	UPK3A		DNLZ	MIR3138		RNY1	
		ZBTB48					MIR1909	DERL2				TMEM132B			SCARNA1	LINC00638		SNORA19|ENSG00000207468.1	NAA11	SC5D		NDUFA10		SNORD28|ENSG00000252284.1			snoU13|ENSG00000238981.1	RN7SKP28	WNT7B		DKFZP434A062	RNA5SP154		RNY3	
		PEX10					ONECUT3	RN7SL784P				BRI3BP			GPN2	ZBTB42		U3|ENSG00000251836.1	RN7SL127P	TBCEL		SEPT2		FECH			RN7SL363P	RNA5SP164	CELSR1		MIR4669	RNA5SP153		RNY4	
		PRKCZ					UQCR11	RN7SL171P				RPL22P19			ZDHHC18	C14orf144		LINC00867	MIR5096	OAF		PDCD1		U3|ENSG00000212539.1			SNORD18|ENSG00000200677.1	RN7SKP248	PPP6R2		RXRA	USP17L23		RNY5	
		RPL22					RN7SL477P	SPNS2				DNAH10OS			RN7SL165P	RN7SL634P		EMX2OS	snoU13|ENSG00000238816.1	THY1		PPP1R7		TXNL1			ZNF774	GPRIN3	ZBED4		RNU6ATAC	USP17L15		RN7SL569P	
		SCNN1D					NDUFS7	RN7SL774P				EIF2B1			RN7SL501P	LINC00637		PDZD8	SNORD75|ENSG00000221711.1	MFRP		PER2		SNORA73|ENSG00000201816.1			GABARAPL3	RN7SKP244	SCO2		LINC00094	FAM90A26		RN7SL72P	
		SKI					C19orf24	snoU13|ENSG00000238807.1				SNORA9|ENSG00000206897.1			snoU13|ENSG00000238316.1	SNORD51|ENSG00000202275.1		ENO4	MIR548AH	ACA64|ENSG00000252119.1		LRRFIP1		RNA5SP459			RN7SL736P	RNU6ATAC31P	PKDREJ		FAM163B	GPR78		U3|ENSG00000199370.1	
		TP73					POLR2E	RNA5SP434				SNRNP35			RN7SL679P	APOPT1		snoU13|ENSG00000238577.1	MIR4450	HINFP		HDAC4		SNORA37			CIB1	IBSP	NUP50		SNORD36C	RNA5SP152		RN7SL456P	
		TNFRSF4					ARID3A	C17orf85				RNA5SP375			MIR1976	SNORA28		RN7SL384P	SNORD50|ENSG00000199857.1	C2CD2L		FARP2		DCC			RN7SL346P	snoU13|ENSG00000238652.1	RABL2B		SNORD36A	MIR95		RNA5SP249	
		MMP23B					CFD	SHPK				RN7SL133P			HMGN2	LINC00605		VWA2	CDKL2	MIR3656		ARL4C		snoU13|ENSG00000238885.1			RN7SL755P	RN7SL681P	GRAMD4		SNORD36B	MIR4274		RN7SL207P	
		KCNAB2					MIR4745	ASPA				MIR4304			RN7SL490P	LINC00677		NHLRC2	BTC	RPS25		RAMP1		RN7SL695P			C15orf38	ADH1A	MLC1		SNORD24	MIR4798		RN7SKP174	
		TNFRSF25					RNA5SP462	OR1E1				HCAR1			AIM1L	snoU13|ENSG00000238853.1		SNORA17|ENSG00000212589.1	PPBPP2	RN7SL529P		STK25		ME2			MIR5009	ADH1C	KIAA0930		ABO	RN7SKP36		RNU6ATAC40P	
		TNFRSF14					OR4F17	OR1D4				SNORA9|ENSG00000252192.1			SH3BGRL3	RN7SL546P		MIR4295	RN7SL218P	RN7SL688P		CAPN10		RNA5SP458			MIR5094	ADH4	MAPK8IP2		snoU13|ENSG00000238657.1	GRPEL1		OR2A9P	
		TNFRSF18					FAM138F	RN7SL605P				ZCCHC8			ZNF593	snoU13|ENSG00000239061.1		GUCY2GP	PPBP	BCL9L		PASK		RN7SL310P			MESP1	ADH5	PLXNB2		CELP	RN7SKP292		OR2A20P	
		ISG15					WASH5P	MIR1253				MLXIP			SCARNA18|ENSG00000252691.1	RN7SL472P		MIR548E	PF4	CXCR5		ATG4B		RNA5SP457			LINC00928	ADH6	BRD1		GTF3C4	S100P		CTAGE15	
		PLCH2					AES	RN7SL608P				BCL7A			SCARNA17|ENSG00000252190.1	LINC00524		RNA5SP327	PF4V1	DDX6		SH3BP4		SCARNA18|ENSG00000252139.1			LINC00925	ADH7	TBC1D22A		SNORA67|ENSG00000212395.1	C4orf50		RN7SL481P	
		CEP104					AMH	snoU13|ENSG00000239024.1				SCARB1			MAN1C1	U3|ENSG00000206761.1		RN7SKP288	SNORA3|ENSG00000221639.1	TTC36		SNED1		SCARNA17|ENSG00000251992.1			ISG20	ANK2	SAMM50		RN7SL328P	RN7SKP275		RN7SL535P	
		KLHL21					ATP5D	RN7SL33P				STX2			snoU13|ENSG00000238889.1	MEG9		RN7SL686P	RNU6ATAC5P	RN7SL86P		TRAF3IP1		SCARNA17|ENSG00000267322.1			ACAN	ATOH1	ATXN10		SNORD62B	RN7SKP113		OR6W1P	
		SLC35E2					AZU1	SNORD91A				GOLGA3			SYF2	MIR369		snoU13|ENSG00000239125.1	RNU4ATAC9P	CD3G		ANO7		SNORD58B			ALDH1A3	BMPR1B	FAM19A5		SNORD62A	FAM86EP		TRBV30	
		RER1					HCN2	SNORD91B				GTF2H3			snoU13|ENSG00000238986.1	MIR377		SMNDC1	RNA5SP163	MPZL3		PRLH		SNORD58A			ANPEP	CAMK2D	SULT4A1		PRRC2B	LINC00955		TRBC2	
		ACOT7					BSG	RN7SL624P				MMP17			RN7SL857P	MIR485		RN7SL450P	snoU13|ENSG00000238318.1	TMPRSS4		THAP4		SNORD58C			BLM	CASP6	RIBC2		SNORA31|ENSG00000252582.1	LRPAP1		PRSS3P2	
		ICMT					CDC34	TLCD2				POLE			snoU13|ENSG00000238538.1	MIR134		U4|ENSG00000272160.1	CSN1S2AP	SCARNA11|ENSG00000252992.1		ANKMY1		C18orf32			CHD2	CENPE	SMC1B		snoU13|ENSG00000238298.1	MSANTD1		TRBV28	
		CHD5					CIRBP	snoU13|ENSG00000238946.1				PXMP2			RN7SL24P	MIR382		RN7SKP278	SULT1B1	PCSK7		SCLY		MIR4744			FES	DMP1	PARVB		RN7SL665P	RN7SL589P		TRBV27	
		NOC2L					CNN2	RN7SL105P				CLIP1			RN7SL532P	MIR381HG		RNA5SP326	UGT2A1	RNY4P6		ASB1		MIR4743			IDH2	DSPP	NCAPH2		HMCN2	MIR943		TRBV19	
		ARHGEF16					CSNK1G2	BHLHA9				SFSWAP			MIR3115	MIR376A1		RNA5SP325	UGT2A2	ZNF259		HES6		RNA5SP456			IGF1R	EGF	GTSE1		ASB6	SCARNA22		TRBV9	
		SSU72					DAPK3	MIR3183				UBC			MIR4684	MIR376C		snoU13|ENSG00000238620.1	UGT2B10	snoU13|ENSG00000238625.1		ACKR3		IER3IP1			MAN2A2	GRID2	MOV10L1		LINC00963	RN7SL671P		TRBV2	
		WRAP73					EEF2	TIMM22				ZNF10			LINC00339	MIR380		ITPRIP	TMPRSS11BNL	LINC00900		GAL3ST2		RNF165			MEF2A	H2AFZ	FAM118A		RN7SL159P	SNORA48|ENSG00000212458.1		PRSS3P3	
		SDF4					EFNA2	DBIL5P				ZNF26			RN7SL186P	MIR299		MIR609	FTLP10	snoU13|ENSG00000239153.1		RAB17		RN7SKP26			MFGE8	HADH	TTC38		C9orf106	TMED11P		MOXD2P	
		MXRA8					ELANE	DOC2B				ZNF84			RN7SL768P	MIR379		MIR936	TMPRSS11GP	ACA59|ENSG00000252870.1		MLPH		RNA5SP455			NTRK3	CFI	MIOX		snoU13|ENSG00000239055.1	RN7SL358P		OR9A1P	
		HES2					GAMT	ABR				CDK2AP1			RN7SL386P	SNORD113|ENSG00000222185.1		RN7SL524P	SNORA62|ENSG00000202374.1	snoU13|ENSG00000238724.1		IQCA1		ATP5A1			FURIN	MANBA	PRR5		RN7SL560P	ZNF721		OR9A3P	
		CPSF3L					GNA15	ACADVL				ULK1			RN7SL421P	SNORD112|ENSG00000252009.1		OBFC1	GNRHR	ATF4P4		C2orf54		BCL2			PCSK6	AFF1	TRMU		HMGA1P4	ABCA11P		AGK	
		C1orf159					GNG7	ALOX12				DENR			MIR1256	SNORD113|ENSG00000222095.1		ACADSB	UBA6	snosnR66		ILKAP		CDH7			PLIN1	MTTP	PANX2		URM1	MIR571		U6|ENSG00000271932.1	
		AURKAIP1					MKNK2	ALOX12B				HCAR3			UBXN10	SNORD113|ENSG00000201710.1		ADAM8	AFM	C11orf34		ING5		CYB5A			POLG	NFKB1	PARVG		MIR4672	ZNF141		RN7SL771P	
		MRPL20					GPX4	ALOX15				HIP1R			PLA2G2C	SNORD113|ENSG00000201036.1		ADD3	AFP	SDHD		AGAP1		KDSR			RLBP1	PDHA2	CERK		RNA5SP296	ZNF732		RNA5SP248	
		ATAD3A					GZMM	ALOX15B				PIWIL1			PLA2G2D	SNORD113|ENSG00000201500.1		ADRA2A	ALB	RNA5SP351		TWIST2		GRP			SNRPA1	PITX2	CRELD2		SNORA65	ZNF876P		snoU13|ENSG00000238868.1	
		PANK4					MATK	ARRB2				NCOR2			PLA2G5	SNORD113|ENSG00000200150.1		ADRB1	AMBN	HSPB2		NEU4		LMAN1			NR2F2	PKD2	ADM2		SNORD116|ENSG00000252985.1	ZNF718		RNA5SP247	
		DNAJC11					GADD45B	ASGR1				KNTC1			RN7SL304P	SNORD112|ENSG00000251918.1		CASP7	ANXA3	ALG9		MTERFD2		SMAD2			ST8SIA2	PPP3CA	TRABD		NRON	ZNF595		KLRG2	
		AJAP1					NFIC	ASGR2				MPHOSPH9			PLA2G2E	SNORD112|ENSG00000252144.1		COL17A1	AREG	ALG9		UBE2F		SMAD4			PEX11A	RAP1GDS1	PNPLA3		RN7SL30P	ADD1		LUC7L2	
		PLEKHG5					OAZ1	ATP1B2				ZNF268			snoU13|ENSG00000239027.1	SNORD112|ENSG00000251949.1		CTBP2	ART3	RN7SKP273		OTOS		SMAD7			IQGAP1	RPL34	HDAC10		MIR181A2HG	ADRA2C		SNORA40|ENSG00000252188.1	
		LRRC47					PALM	ATP2A3				TMED2			RN7SL277P	SNORD112|ENSG00000252873.1		CYP2E1	ATOH1	SIK2		MYEOV2		MBD1			PRC1	SNCA	LDOC1L		RN7SL302P	ATP5I		snoU13|ENSG00000239123.1	
		HES4					POLRMT	C1QBP				FZD10			RN7SL85P	SNORD112|ENSG00000251769.1		DMBT1	BMP3	RNA5SP350		OR6B3		MBP			SV2B	SPP1	KIAA1644		MIR601	BST1		SNORA51|ENSG00000201465.1	
		PRDM16					MAP2K2	CD68				P2RX2			AKR7A2	MEG8		DOCK1	CCNG2	SNORD39|ENSG00000264997.1		DUSP28		MC4R			AP3S2	UBE2D3	SHANK3		GPR21	CCKAR		snoU13|ENSG00000238984.1	
		VWA1					PRTN3	CHD3				ANKLE2			AKR7A3	MIR433		DUSP5	SCARB2	RNA5SP349		ESPNL		MYO5B			SEMA4B	SPARCL1	TUBGCP6		SNORD90	CRMP1		snoU13|ENSG00000239145.1	
		NADK					PTBP1	CHRNB1				ABCB9			MIR1290	MEG3		ECHS1	CDS1	RNA5SP348		AQP12A		NARS			ABHD2	UNC5C	LMF2		RN7SL227P	CTBP1		RN7SKP223	
		MMEL1					PTPRS	CHRNE				RIMBP2			MIR4695	RN7SKP92		EMX2	CENPC	ACAT1		KLHL30		NFATC1			CHSY1	LAMTOR3	PHF21B		RBM18	DGKQ		SNORD81|ENSG00000202023.1	
		NOL9					RPS15	CLDN7				ATP6V0A2			snoU13|ENSG00000239020.1	RN7SL523P		FGFR2	CSN1S1	ACRV1		OR6B2		SERPINB2			SYNM	HERC3	KLHDC7B		RN7SL187P	DHX15		snoU13|ENSG00000238488.1	
		LINC00115					SGTA	CRK				GALNT9			PADI6	YY1		GFRA1	CSN2	APLP2		ASB18		ATP8B1			VPS33B	PAPSS1	PNPLA5		GGTA1P	DRD5		LUZP6	
		MORN1					SH3GL1	CTNS				ARL6IP4			MIR3972	DEGS2		PRLHR	CSN3	APOA1		PRR21		SERPINB5			MRPL46	AIMP1	C22orf34		RN7SL181P	EVC		C7orf73	
		GLTPD1					STK11	DLG4				SBNO1			U1|ENSG00000228549.2	MIR342		GRK5	DCK	APOA4		AQP12B		SERPINB8			OR4F4	ABCG2	LINC00207		RN7SKP125	FGFR3		U6|ENSG00000272393.1	
		TAS1R1					TBXA2R	DPH1				CHFR			MST1L	CCNK		HABP2	DMP1	APOC3		D2HGDH		SERPINB10			SLCO3A1	TSPAN5	FLJ27365		RN7SKP128	GAK		SNORD46|ENSG00000201009.1	
		OR4F16					TCF3	DVL2				DIABLO			ESPNP	U6|ENSG00000272439.1		HMX2	DSPP	ARCN1		MIR4269		SERPINB13			NGRN	FAM13A	LINC00898		SNORA70C	GRK4		MIR29B1	
		CCNL2					THOP1	EFNB3				PITPNM2			CROCCP2	RN7SL714P		INPP5A	EREG	ATM		MIR4786		PMAIP1			RHCG	SEC24B	IL17REL		LINC00474	HTT		MIR29A	
		ESPN					TLE2	EIF4A1				EP400			U1|ENSG00000233421.3	RN7SL710P		ABLIM1	FGF5	FXYD2				MAPK4			DET1	PDLIM5	MIRLET7A3		TNFSF8	HGFAC		RNA5SP246	
		ATAD3B					MADCAM1	EIF5A				DHX37			CROCCP3	LINC00618		MKI67	GC	CASP1				RAB27B			FANCI	RRH	MIRLET7B		ATP6V1G1	HMX1		COPG2	
		PLEKHN1					SF3A2	ENO3				FBRSL1			ALPL	RN7SKP108		MXI1	GK2	CASP4				RPL17			MCTP2	MMRN1	PIM3		snoU13|ENSG00000238530.1	IDUA		MIR335	
		C1orf170					PPAP2C	FGF11				DDX55			BAI2	snoU13|ENSG00000238776.1		NRAP	GRID2	CASP5				SERPINB3			VIMP	METAP1	ODF3B		MIR455	RBPJ		snoU13|ENSG00000239044.1	
		THAP3					S1PR4	GP1BA				VPS33A			C1QA	DKFZP434O1614		OAT	CXCL1	CBL				SERPINB4			UNC45A	PPA2	ARHGAP8		COL27A1	LETM1		snoU13|ENSG00000238336.1	
		ACAP3					AP3D1	GPS2				RSRC2			C1QB	C14orf132		PNLIP	CXCL2	CD3D				SLC14A1			RGMA	DAPP1	SYCE3		FKBP15	MSX1		RNA5SP245	
		UBE2J2					APBA3	GUCY2D				AACS			C1QC	LINC00617		PNLIPRP1	CXCL3	CD3E				TCF4			WDR93	DKK2	MIR3201		FAM225A	MYL5		RNA5SP244	
		PUSL1					MED16	HIC1				NOC4L			CAPZB	GLRX5		PNLIPRP2	GRSF1	CHEK1				ZNF236			AEN	HPGDS	MIR3619		FAM225B	PDE6B		TSPAN33	
		B3GALT6					CHAF1A	ITGAE				B3GNT4			RUNX3	SCARNA13		HTRA1	HTN1	CRYAB				SLC14A2			CRTC3	HSD17B11	MIR3667		ZNF883	PPP2R2C		snoU13|ENSG00000238733.1	
		TPRG1L					EBI3	MNT				OGFOD2			CDA	SNHG10		PTPRE	HTN3	DDX10				SERPINB7			TTC23	LEF1	MIR4763		INIP	QDPR		RN7SL306P	
		FAM213B					PLIN3	MYH8				VPS37B			CDC42	AKT1		RGS10	IGJ	DLAT				TNFRSF11A			MRPS11	HERC5	MIR4535		C9orf147	RGS12		KCP	
		ACTRT2					FSTL3	MYH10				TCTN2			CD52	BDKRB1		SLC18A2	IL8	DPAGT1				MBD2			LRRK1	LARP7			RN7SL430P	RNF4		RN7SL81P	
		MIB2					APC2	MYO1C				CCDC92			RCC1	BDKRB2		TCF7L2	CXCL10	DRD2				PSTPIP2			TM2D3	EMCN			RNA5SP295	SH3BP2		CALU	
		SAMD11					ABCA7	NUP88				PUS1			CNR2	CKB		TECTB	CXCL9	ETS1				PIAS2			TICRR	NUDT9			RN7SL57P	SOD3		RNA5SP243	
		PHF13					HMG20B	OR1D2				CCDC62			COL16A1	CRIP1		UROS	AFF1	FDX1				CTDP1			RCCD1	GAR1			MIR4668	WFS1		RNA5SP242	
		CCDC27					SEMA6B	OR3A1				C12orf65			DDOST	CRIP2		XPNPEP1	MUC7	FLI1				SOCS6			ARRDC4	TET2			UGCG	WHSC1		MIR593	
		CALML6					UQCR11	OR3A2				TMEM132D			E2F2	DIO3		SHOC2	PKD2	SLC37A4				LIPG			LINC00923	ARHGEF38			LRRC37A5P	NELFA		MIR592	
		C1orf86					SBNO2	P2RX1				SLC15A4			ECE1	DYNC1H1		ADAM12	PPEF2	GRIA4				ONECUT2			TARSL2	HERC6			RNA5SP294	SLBP		GPR37	
		ATAD3C					KDM4B	P2RX5				FAM101A			EPB41	EIF5		UTF1	PRKG2	GRIK4				VPS4B			LRRC28	BANK1			RNY4P18	ACOX3		AASS	
		TTLL10					ZFR2	PAFAH1B1				ZNF664			EPHA8	EML1		EIF3A	MAPK10	GUCY1A2				CTIF			ASB7	C4orf21			FRRS1L	CPZ		RN7SKP277	
		NPHP4					PIP5K1C	SERPINF1				GLT1D1			EPHB2	BRF1		SMC3	PTPN13	H2AFX				TSHZ1			LYSMD4	AP1AR			MIR32	NOP14		RNA5SP241	
		C1orf174					HMHA1	PER1				PGAM5			EXTL1	HSP90AA1		BUB3	CXCL6	HMBS				ACAA2			PGPEP1L	SMARCAD1			ACTL7B	FAM193A		RNA5SP240	
		KLHL17					SHC2	PFAS				RILPL2			EYA3	JAG2		GSTO1	CXCL11	HSPA8				CD226			C15orf32	MEPE			RNA5SP293	PROM1		U1|ENSG00000271739.1	
		TMEM52					TIMM13	PFN1				DNAH10			FGR	KLC1		BAG3	CXCL5	HTR3A				MALT1			HAPLN3	INTS12			RN7SL659P	LDB2		NAA38	
		AGRN					DAZAP1	PITPNA				LRRC43			FUCA1	MARK3		FAM53B	SNCA	IL10RA				TXNL4A			MESP2	KLHL8			RNA5SP292	SLIT2		RNA5SP239	
		GPR153					FGF22	PLD2				GPR133			IFI6	PPP2R5C		SLK	SPP1	IL18				POLI			SPATA8	OSTC			RN7SKP77	RAB28		CAPZA2	
		FAM132A					TJP3	SERPINF2				DDX51			GALE	MOK		DCLRE1A	STATH	STT3A				ADNP2			LINC00052	NEUROG2			RN7SKP191	KIAA0232		snoZ185	
		HES5					NMRK2	POLR2A				HCAR2			SFN	TNFAIP2		GLRX3	SULT1E1	KCNJ1				PHLPP1			ADAMTS17	SLC39A8			RNA5SP291	WDR1		SNORA25|ENSG00000202377.1	
		SMIM1					SLC39A3	PSMB6				EP400NL			GPR3	TRAF3		DPYSL4	UGT2B4	VWA5A				NEDD4L			DNM1P46	ETNPPL			LINC00587	FGFBP1		MIR3666	
		RNF207					THEG	RPA1				RILPL1			HCRTR1	VRK1		TACC2	UGT2B7	MCAM				WDR7			CERS3	ELOVL6			TMEM246	C4orf6		RNA5SP238	
		HES3					ZBTB7A	RPL26				IL31			HDAC1	WARS		PRDX3	UGT2B15	KMT2A				PIGN			FAM169B	ARSJ			SNORA31|ENSG00000253041.1	MFSD10		TSRM	
		MIR200A					SIRT6	SHBG				SETD8			HMGCL	XRCC3		VAX1	UGT2B17	NCAM1				RTTN			KIF7	GSTCD			LPPR1	MAEA		TMEM168	
		MIR200B					LSM7	SLC2A4				ZNF605			HSPG2	TCL1A		ATE1	SPARCL1	NFRKB				SETBP1			ZNF710	DNAJB14			RN7SKP87	PCGF3		IFRD1	
