cytoband	16p13.3	4q22.1	20p12.1	6q26	3p14.2	16q23.1	5q12.1	1p33	3q26.31	1p36.11	18q21.2	6p25.3	8p23.2	4q35.1	10q21.1	10q23.31	8p22	15q22.33	18q22.1	7q31.1	19p13.3	17p12	21q11.2	22q13.32	5q22.2	5q21.2	15q21.1	1p13.2	17q24.3	8q11.1	10q25.2	12p13.1	21q21.1	18p11.31	18q12.2	2q22.1	15q11.2	14q11.2	2p12	3p26.3	5q23.3	4p16.1	9p21.3	14q31.1	11q22.3	15q15.2	12q21.33	10p15.3	
										HMGN2				U3|ENSG00000252048.1		KLLN	NUDT18				ATP5D		TEKT4P2	CHKB	CAMK4	RNA5SP188		RNA5SP55			RNA5SP327	RN7SL46P		CBX3P2			GJD2	FBXO33	REG3G	RN7SL110P	SKP1	RNA5SP153	SNORA30|ENSG00000202189.1	IGHJ3	OR10D3	MIR627	LINC00485	TUBB8	
										RN7SL490P				FAM92A1P2			FGF17				CIRBP		MIR3648	CPT1B	SNORA51|ENSG00000207177.1	RN7SL802P		MIR548AC			RN7SKP288	RN7SKP162		snoU109|ENSG00000238575.1			SNORA18|ENSG00000252425.1	LINC00639		MIR4270	snoU13|ENSG00000238796.1	USP17L23	MIR491	IGHJ4	U8|ENSG00000200496.1	MIR4310	RN7SL793P	IDI1	
										AIM1L				RN7SKP67			snoU13|ENSG00000238466.1				EFNA2		TPTE	TYMP	MIR548F3	MIR548P		ATP1A1OS			RN7SL686P	GRIN2B		TGIF1			SLC12A6	LINC00517		snoU13|ENSG00000238891.1	HSPA4	USP17L15	MIR4474	IGHJ5	SNORD14C	RNA5SP393	RNA5SP369	PFKP	
										SH3BGRL3				RN7SKP13			U3|ENSG00000251944.1				GAMT		POTED	MAPK11	TMEM232	RN7SKP62		U3|ENSG00000221040.1			snoU13|ENSG00000239125.1	RNA5SP353		MYOM1			TMCO5B	SNORA42|ENSG00000200385.1		COL6A4P1	LEAP2	FAM90A26	MIR4473	IGHJ6	SNORD14D	MIR626	snoU13|ENSG00000238940.1	ZMYND11	
										CD52				LINC00290			SNORA62|ENSG00000201157.1				GPX4		MIR3687	MAPK12	APC	EFNA5		SNORA42|ENSG00000207502.1			SMNDC1	HTR7P1		DLGAP1			SNORD77|ENSG00000212415.1	TTC6		NR2C2	UQCRQ	GPR78	ACER2	IGHM	SNORD14E	RN7SL497P	RNA5SP368	WDR37	
										SFN				SNORD65|ENSG00000212191.1			RNA5SP256				RPS15			SBF1	MCC	PAM		RN7SL420P			RN7SL450P	SNORD88		LPIN2			snoU13|ENSG00000238342.1	MIR4503		GRIP2	RNA5SP192	RNA5SP152	snoU13|ENSG00000238348.1	IGHD	snoU13|ENSG00000239079.1	RN7SL376P	RNA5SP367	DIP2C	
										RPS6KA1				RNA5SP173			MIR548V				STK11			PPP6R2	REEP5	ST8SIA4		RN7SL432P			U4|ENSG00000272160.1	GPRC5A		NDC80			RN7SL286P	SLC25A21		RNA5SP124	snoZ6|ENSG00000253067.1	MIR95	RN7SL158P	IGHG3	RNU4ATAC5P	snoU13|ENSG00000238559.1	snoU13|ENSG00000238800.1	LARP4B	
										SLC9A1				SLC25A4			MTMR7				TCF3			ZBED4	NREP	PPIP5K2		DENND2C			RN7SKP278	MIR613		MYL12A			RN7SL539P	RN7SKP257		LSM3	HINT1	MIR4274	SCARNA8	IGHG1	RNU4ATAC10P	LINC00594	SLC5A8	GTPBP4	
										ARID1A				CASP3			ZDHHC2				APC2			SCO2	EPB41L4A	GIN1		BCL2L15			RNA5SP326	DUSP16		SMCHD1			GOLGA8O	DPPA3P2		FGD5P1	RNA5SP191	MIR4798	RN7SKP258	IGHA1	SC5D	RNA5SP392	snoU13|ENSG00000238748.1	IDI2	
										NR0B2				DCTD			FGF20				ABCA7			RABL2B	YTHDC2	NUDT12		LRIG2			ADD3	LOH12CR2		METTL4			U8|ENSG00000206987.1	RN7SKP21		WNT7A	RNU6ATAC10P	RN7SKP36	MIR3152	IGHG2	TBCEL	LINC00984	RN7SL176P	LINC00200	
										FCN3				ACSL1			RN7SL474P				UQCR11			MLC1	TSSK1B	C5orf30		snoU13|ENSG00000238975.1			ADRA2A	TAS2R30		MYL12B			ULK4P1	PTCSC3		LINC00620	KIAA1024L	GRPEL1	RN7SL720P	IGHG4	OAF	snoU13|ENSG00000238564.1	RNA5SP366	PRR26	
										MAP3K6				ING2			NAT1				SBNO2			MAPK8IP2	TSLP	SLCO6A1		WNT2B			ADRB1	TAS2R64P					RN7SL185P	snoU13|ENSG00000238718.1		SNORA7A	MIR4633	RN7SKP292	RN7SL98P	IGHE	THY1	THBS1	SNORA53		
										NUDC				IRF2			NAT2				HMHA1			PLXNB2	SLC25A46	FAM174A		snoU13|ENSG00000238761.1			CASP7	TAS2R20					GOLGA8K	SNORA31|ENSG00000253059.1		snoU13|ENSG00000239140.1	C5orf63	S100P	RN7SL157P	IGHA2	MFRP	FAM98B	RN7SL179P		
										WDTC1				CLDN22			ASAH1				DAZAP1			BRD1	STARD4	SLCO4C1		snoU13|ENSG00000239111.1			DUSP5	TAS2R14					CHRNA7	KIAA0391		C3orf83	RN7SKP117	C4orf50	LINC00583	CRIP1	ACA64|ENSG00000252119.1	U3|ENSG00000212511.1	SLC9A7P1		
										PIGV				CDKN2AIP			ATP6V1B2				MBD3			FAM19A5	WDR36			ATP5F1			HABP2	PRH2					SNORA18|ENSG00000206849.1	RN7SL660P		RNA5SP123	RN7SL711P	RN7SKP275	LURAP1L	C14orf79	HINFP	CSNK1A1P1	RMST		
										GPATCH3				TENM3			BMP1				PCSK4			NCAPH2	DCP2			PGCP1			MXI1	TAS2R8					MIR211	GPR33		SYN2	RN7SL689P	RN7SKP113	RN7SL849P	LINC00638	C2CD2L	BUB1B	C12orf63		
										CEP85				LRP2BP			POLR3D				REXO1			MOV10L1				DENND2D			NRAP	MAGOHB					RN7SL82P	MIR624		RN7SL147P	snoU13|ENSG00000239103.1	FAM86EP	RN7SL5P	ZBTB42	MIR3656	CAPN3	C12orf55		
										LIN28A				STOX2			EGR3				ABHD17A			MIOX				RNA5SP54			TCF7L2	EIF2S3L					U8|ENSG00000252602.1	BNIP3P1		SLC6A11	snoU13|ENSG00000252295.1	LINC00955	SNORD27|ENSG00000251699.1	C14orf144	RPS25	CKMT1B	RN7SKP11		
										DHDDS				KIAA1430			DMTN				KLF16			PANX2				CYMP			TECTB	RN7SKP161					RN7SL628P	LINC00645		LINC00606	snoU13|ENSG00000239067.1	LRPAP1	RN7SL123P	RN7SL634P	RN7SL529P	EPB42	ELK3		
										TMEM222				TRAPPC11			FGL1				MUM1			CRELD2				SNORA25|ENSG00000200536.1			XPNPEP1	KLRF2					GOLGA8H	SNORD37|ENSG00000212270.1		MIR885	snoU13|ENSG00000239084.1	MSANTD1	snoU13|ENSG00000252110.1	LINC00637	RN7SL688P	GANC	RN7SL88P		
										SYTL1				MLF1IP			GFRA2				MIDN			ADM2				ALX3			SHOC2	CLEC2B					U8|ENSG00000207430.1	TM9SF1		GHRLOS	RNA5SP190	RN7SL589P	RN7SL25P	SNORD51|ENSG00000202275.1	BCL9L	GCHFR	SNRPF		
										UBXN11				WWC2			GNRH1				REEP6			TRABD				RNU6V			SMC3	CLEC2D					ULK4P2	RNA5SP383		LINC00852	RN7SL174P	MIR943	C9orf38	APOPT1	CXCR5	PDIA3	PGAM1P5		
										FAM46B				SNX25			LOXL2				PLK5			HDAC10				GNAI3			DCLRE1A	KLRB1					RN7SL796P	DHRS4L1		snoU13|ENSG00000238345.1	TNFAIP8	SCARNA22	MLANA	SNORA28	DDX6	ITPKA	KRT19P2		
										C1orf172				ENPP6			LPL				C19orf25			SHANK3				KIAA1324			PDCD4	SNORA75|ENSG00000212432.1					GOLGA8Q	LINC00596		VHL	MIR5706	RN7SL671P	snoU13|ENSG00000238654.1	LINC00605	TTC36	IVD	RN7SL483P		
										ZNF683				RWDD4			MSR1				ATP8B3			TUBGCP6				SCARNA2			ACSL5	SNORA75|ENSG00000212440.1					RN7SL196P	RN7SKP205		snoU13|ENSG00000238642.1	snoU13|ENSG00000239011.1	SNORA48|ENSG00000212458.1	INSL4	LINC00677	RN7SL86P	LTK	RN7SL330P		
										TRNP1				CCDC111			NEFM				C19orf26			LMF2				TMEM167B			C10orf118	ARHGDIB					GOLGA8R	MIR208B		CIDECP	DTWD2	TMED11P	AK3	snoU13|ENSG00000238853.1	CD3G	MAP1A	RN7SKP263		
														CCDC110			PCM1				ADAMTSL5			KLHDC7B				TAF13			TDRD1	CD69					U8|ENSG00000238519.1	MIR208A		EMC3	ARL14EPL	RN7SL358P	CDC37L1	RN7SL546P	MPZL3	MEIS2	RN7SL630P		
														ANKRD37			PDGFRL				MEX3D			C22orf34				SPATA42			GPAM	CDKN1B					RN7SL469P	PABPN1		LHFPL4	AP3S1	ZNF721	CARM1P1	snoU13|ENSG00000239061.1	TMPRSS4	MFAP1	RN7SL737P		
														HELT			PPP3CC							IL17REL				NBPF5P			ZDHHC6	CREBL2					GOLGA8T	C14orf164		SNORA43|ENSG00000199815.1	RN7SKP89	ABCA11P	RN7SL592P	RN7SL472P	SCARNA11|ENSG00000252992.1	PLCB2	UBE2N		
														C4orf47			SFTPC							PIM3				SLC25A24P1			PLEKHS1	EMP1					U8|ENSG00000207432.1	SNORA73|ENSG00000252114.1		LINC00312	RNU4ATAC13P	MIR571	RNA5SP279	LINC00524	PCSK7	RAD51	snoU13|ENSG00000239073.1		
														CLDN24			SLC7A2							ODF3B				RN7SKP285			AFAP1L2	EPS8					ULK4P3	SNORD41|ENSG00000212302.1		RNU4ATAC17P	ZRSR1	ZNF141	RN7SL412P	U3|ENSG00000206761.1	RNY4P6	SPINT1	SNORD74|ENSG00000201502.1		
														MIR1305			SLC18A1							SYCE3				snoU13|ENSG00000238296.1			BBIP1	ETV6					RN7SL673P	OR6J1		RN7SL553P	SRP19	ZNF732	FAM138C	MEG9	ZNF259	SRP14	snoU13|ENSG00000238361.1		
														MIR3945			STC1							MIR3201				SCARNA16|ENSG00000252765.1			VTI1A	GPR19					GOLGA8J	TRAC		snoU13|ENSG00000239126.1	FLJ11235	ZNF876P	PLIN2	MIR369	snoU13|ENSG00000238625.1	TP53BP1	snoU13|ENSG00000238865.1		
														MIR4455			TUSC3							MIR3667				DPH5			RBM20	GUCY2C					snoZ278	TRAJ1		EGOT	SNORA13	ZNF718	CDKN2A	MIR377	LINC00900	TYRO3	BTG1		
																	ADAM7							MIR4535				MIR553			MIR2110	KLRC1					GOLGA6L7P	TRAJ2		SNORA43|ENSG00000253049.1	RN7SKP57	ZNF595	CDKN2B	MIR485	snoU13|ENSG00000239153.1	SNAP23	LUM		
																	TNFRSF10D											LPPR5			MIR4680	KLRC2					WHAMMP2	TRAJ3		RN7SKP144	CAMK4	ADD1	DMRT1	MIR134	ACA59|ENSG00000252870.1	TGM5	LINC00615		
																	TNFRSF10C											RN7SKP270				KLRC3					RN7SL719P	TRAJ4		RN7SL120P	SNORA51|ENSG00000207177.1	ADRA2C	ELAVL2	MIR382	snoU13|ENSG00000238724.1	PPIP5K1	RNA5SP365		
																	TNFRSF10B											RN7SL831P				KLRD1					GOLGA8M	TRAJ5		ATP2B2	MIR548F3	ATP5I	FOXD4	MIR381HG	ATF4P4	LCMT2	LINC00936		
																	DOK2											ADORA3				LRP6					RN7SL829P	TRAJ6		BTD	TMEM232	CRMP1	GLDC	MIR376A1	snosnR66	RASGRP1	KITLG		
																	ENTPD4											AGL				MGP					RN7SL238P	TRAJ7		CAV3	RN7SKP230	CTBP1	IFNA1	MIR376C	C11orf34	GPR176	RNA5SP364		
																	PHYHIP											AMPD1				MGST1					GOLGA8F	TRAJ8		DAZL	FER	DGKQ	IFNA2	MIR380	SDHD	CHP1	MKRN9P		
																	SORBS3											AMPD2				OLR1					RNA5SP391	TRAJ9		FANCD2	RN7SKP122	DRD5	IFNA4	MIR299	RNA5SP351	OIP5	SNORA3|ENSG00000221148.1		
																	NPM2											AMY1A				PDE6H					LINC00929	TRAJ10		FBLN2	RN7SL782P	EVC	IFNA5	MIR379	HSPB2	BAHD1	MIR4699		
																	ADAM28											AMY1B				PRB1					SNORA48|ENSG00000212604.1	TRAJ11		GRM7	APC	FGFR3	IFNA7	SNORD113|ENSG00000222185.1	ALG9	MAPKBP1	MIR618		
																	LZTS1											AMY1C				PRB3					MIR4715	TRAJ12		HRH1	ALDH7A1	GAK	IFNA8	SNORD112|ENSG00000252009.1	ALG9	RTF1	MIR617		
																	XPO7											AMY2A				PRB4					RNA5SP390	TRAJ13		IL5RA	CAMLG	GRK4	IFNA10	SNORD113|ENSG00000222095.1	RN7SKP273	MGA	PTPRQ		
																	RHOBTB2											AMY2B				PRH1					ATP10A	TRAJ14		IRAK2	CDO1	HTT	IFNA13	SNORD113|ENSG00000201710.1	SIK2	VPS39	RN7SKP261		
																	PSD3											RHOC				PTPRO					SNORD109B	TRAJ16		ITPR1	CSF2	HGFAC	IFNA14	SNORD113|ENSG00000201036.1	RNA5SP350	SERF2	RNA5SP363		
																	SLC39A14											ATP1A1				KLRC4					SNORD115|ENSG00000212428.1	TRAJ17		OGG1	CSNK1G3	HMX1	IFNA16	SNORD113|ENSG00000201500.1	SNORD39|ENSG00000264997.1	TMEM87A	PAWR		
																	ADAMDEC1											CAPZA1				YBX3					SNORD109A	TRAJ18		OXTR	DMXL1	IDUA	IFNA17	SNORD113|ENSG00000200150.1	RNA5SP349	RPAP1	RN7SL696P		
																	CNOT7											CASQ2				KLRAP1					SNORD108	TRAJ19		PPARG	FBN2	LETM1	IFNA21	SNORD112|ENSG00000251918.1	RNA5SP348	RPUSD2	MIR1252		
																	KCTD9											CD2				STRAP					SNORD64|ENSG00000270704.2	TRAJ20		RAB5A	GDF9	MSX1	IFNB1	SNORD112|ENSG00000252144.1	MMP12	TUBGCP4	snoU13|ENSG00000238769.1		
																	PIWIL2											CD53				PRR4					SNHG14	TRAJ21		RAF1	HSD17B4	MYL5	IFNW1	SNORD112|ENSG00000251949.1	WTAPP1	EHD4	RN7SKP172		
																	INTS10											CD58				KLRK1					SNURF	TRAJ22		RPL32	IL3	PDE6B	JAK2	SNORD112|ENSG00000252873.1	ACAT1	NDUFAF1	PHLDA1		
																	CSGALNACT1											CHI3L2				GABARAPL1					snoU13|ENSG00000238615.1	TRAJ23		SATB1	IL4	PPP2R2C	MLLT3	SNORD112|ENSG00000251769.1	ACRV1	NUSAP1	RN7SL734P		
																	HR											COL11A1				TAS2R9					PWRN1	TRAJ24		SEC13	IL5	RGS12	MTAP	MEG8	APOA1	SPTBN5	SNORA70|ENSG00000251893.2		
																	BIN3											CSF1				TAS2R7					PWRN2	TRAJ25		SETMAR	IL9	RNF4	NFIB	MIR433	APOA4	DLL4	GLIPR1		
																	MTUS1											DBT				TAS2R13					MAGEL2	TRAJ26		SLC6A1	IL13	SH3BP2	PTPRD	MEG3	APOC3	INO80	U8|ENSG00000201809.1		
																	KIAA1967											DPYD				TAS2R10					RN7SL536P	TRAJ27		SLC6A6	IRF1	WFS1	RFX3	RN7SKP92	ARCN1	PPP1R14D	RAB21		
																	SH2D4A											S1PR1				HEBP1					GOLGA8S	TRAJ28		TIMP4	KCNN2	WHSC1	RLN1	RN7SL523P	ATM	HAUS2	SNORA17|ENSG00000212461.1		
																	PDLIM2											CELSR2				DERA					RN7SL106P	TRAJ29		XPC	LECT2	NELFA	RLN2	YY1	FXYD2	RMDN3	APAF1		
																	FAM160B2											EXTL2				DDX47					HERC2P2	TRAJ30		BRPF1	LMNB1	SLBP	RPS6	DEGS2	CASP1	DNAJC17	ARL1		
																	DOCK5											GNAT2				CLEC1B					RN7SL495P	TRAJ31		COLQ	LOX	ACOX3	SH3GL2	MIR342	CASP4	PAK6	ASCL1		
																	REEP4											GSTM1				CLEC1A					WHAMMP3	TRAJ32		CAMK1	SMAD5	CPZ	SLC1A1	CCNK	CASP5	CASC5	ATP2B1		
																	CHMP7											GSTM2				KLRF1					RN7SL545P	TRAJ33		BHLHE40	MAN2A1	NOP14	SMARCA2	U6|ENSG00000272439.1	CBL	STARD9	CRY1		
																	VPS37A											GSTM3				WBP11					GOLGA8DP	TRAJ34		KAT2B	MCC	FAM193A	SNAPC3	RN7SL714P	CD3D	VPS18	CSRP2		
																	PEBP4											GSTM4				MANSC1					MIR1268A	TRAJ35		SH3BP5	NEUROG1	RAB28	TYRP1	RN7SL710P	CD3E	ZNF106	DCN		
																	CDCA2											GSTM5				STYK1					OR4N4	TRAJ36		VGLL4	PGGT1B	KIAA0232	VLDLR	LINC00618	CHEK1	CHAC1	EPYC		
																	R3HCC1											IGSF3				GPRC5D					snoU13|ENSG00000238960.1	TRAJ37		EDEM1	PITX1	WDR1	MPDZ	RN7SKP108	CRYAB	WDR76	DUSP6		
																	LGI3											KCNA2				ATF7IP					DKFZP547L112	TRAJ38		TBC1D5	PPIC	C4orf6	CER1	snoU13|ENSG00000238776.1	DDX10	TMEM62	HAL		
																	MICU3											KCNA3				H2AFJ					RN7SL400P	TRAJ39		TATDN2	SLC12A2	MFSD10	KIAA0020	DKFZP434O1614	DLAT	ELL3	IGF1		
																	MIR320A											KCNA10				LMO3					CT60	TRAJ40		SRGAP3	SLC22A4	MAEA	RCL1	C14orf132	DPAGT1	C15orf41	KCNC2		
																	C8orf58											KCNC4				KIAA1467					NBEAP1	TRAJ41		IQSEC1	SLC22A5	PCGF3	DMRT2	LINC00617	DRD2	ZFYVE19	LTA4H		
																												KCND3				CLEC7A					RN7SL759P	TRAJ42		ARPC4	SNX2	SPON2	RRAGA	GLRX5	FDX1	DISP2	MYBPC1		
																												MOV10				BCL2L14					GOLGA6L6	TRAJ43		TADA3	TCF7	TACC3	PSIP1	SCARNA13	SLC37A4	C15orf57	MYF5		
																												NGF				APOLD1					snoU13|ENSG00000239083.1	TRAJ44		ATG7	TGFBI	MXD4	INSL6	SNHG10	GRIA4	KNSTRN	MYF6		
																												NHLH2				GSG1					CHEK2P2	TRAJ45		CHL1	UBE2B	CPLX1	KDM4C	MIR4506	GRIK4	BMF	PPP1R12A		
																												NRAS				RERG					RN7SL584P	TRAJ46		CAND2	VDAC1	SLC26A1	KANK1	SLC24A4	GUCY1A2	CHST14	NAP1L1		
																												OVGP1				LOH12CR1					ACTC1	TRAJ47		RFTN1	REEP5	MAN2B2	SLC24A2	NDUFB1	H2AFX	TGM7	NFYB		
																												PSMA5				TMEM52B					APBA2	TRAJ48		NUP210	PDLIM4	NSG1	RANBP6	U3|ENSG00000200042.1	HMBS	CATSPER2	NTS		
																												PTGFRN				HIST4H4					CHRM5	TRAJ49		PLCL2	P4HA2	STX18	CD274	RN7SL506P	HSPA8	PLA2G4E	PAH		
																												RAP1A				CLEC12A					GABRA5	TRAJ50		ANKRD28	ATG12	FGFRL1	C9orf53	SNORA11B	HTR3A	TMCO5A	CDK17		
																												SORT1				CLECL1					GABRB3	TRAJ52		CAPN7	NREP	CYTL1	BNC2	LINC00642	IL10RA	ZSCAN29	SLC25A3		
																												SARS				TAS2R43					GABRG3	TRAJ53		MKRN2	CXCL14	SH3TC1	HAUS6	RN7SKP255	IL18	TTBK2	PMCH		
																												SLC16A1				TAS2R31					MEIS2	TRAJ54		THUMPD3	H2AFY	PIGG	CNTLN	RN7SKP107	STT3A	CDAN1	PTPRR		
																												STXBP3				TAS2R46					TRPM1	TRAJ56		HACL1	SNCAIP	BLOC1S4	FOCAD	KCNK10	VWA5A	STRC	RFX4		
																												SYCP1				TAS2R19					NDN	TRAJ57		TTLL3	PJA2	STK32B	SPATA6L	GPR65	MCAM	SPRED1	SYT1		
																												TBX15				TAS2R50					OCA2	TRAJ58		CNTN6	DDX46	LYAR	DENND4C	LINC00911	KMT2A	ADAL	TDG		
																												TSHB				CLEC9A					RYR3	TRAJ59		LMCD1	RAD50	SLC2A9	PLGRKT	RNU3P3	MMP1	EXD1	TSPAN8		
																												VCAM1				C12orf36					SCG5	TRAJ61		SSUH2	SEC24A	TBC1D14	CBWD1	RNU6ATAC28P	MMP3	FSIP1	TMPO		
																												CSDE1				TAS2R42					SNRPN	TRDV3		TRNT1	KIF3A	SORCS2	KIAA1432	snoU13|ENSG00000238978.1	MMP8	RHOV	NR2C1		
																												CDC14A				CLEC2A					TJP1	TRDC		CRBN	FSTL4	UVSSA	DMRT3	SNORA79|ENSG00000221303.1	MMP10	UBR1	HSP90B1		
																												RTCA				CLEC12B					UBE3A	TRDJ3		CCDC174	SEPT8	ZFYVE28	ERMP1	NRXN3	MMP13	PLA2G4F	TXNRD1		
																												SLC16A4				SMCO3					MKRN3	TRDJ2		GHRL	ACSL6	AFAP1	PDCD1LG2	RNA5SP388	NCAM1	LRRC57	ALX1		
																												CD101				PRB2					HERC2	TRDJ4		ARL8B	PHF15	TNIP2	DOCK8	RN7SL587P	NNMT	PLA2G4D	EEA1		
