Gene_symbol	GENEID	EnsembleID	Description	Chromomsome	Position	Start	End	GENE_TYPE	Source
PAX7	5081	ENSG00000009709	paired box 7 [Source:HGNC Symbol;Acc:8621]	1	1p36.13	18957500	19075360	oncogene	COSMIC
BAZ1B	9031	ENSG00000009954	bromodomain adjacent to zinc finger domain, 1B [Source:HGNC Symbol;Acc:961]	7	7q11.23	72854728	72936608	oncogene	CCGD
FYN	2534	ENSG00000010810	FYN oncogene related to SRC, FGR, YES [Source:HGNC Symbol;Acc:4037]	6	6q21	111981535	112194655	oncogene	PMID:19292927
WAS	7454	ENSG00000015285	Wiskott-Aldrich syndrome [Source:HGNC Symbol;Acc:12731]	X	Xp11.23	48534985	48549818	oncogene	COSMIC
MATR3	9782	ENSG00000015479	matrin 3 [Source:HGNC Symbol;Acc:6912]	5	5q31.2	138609441	138667360	oncogene	CCGD
WWTR1	25937	ENSG00000018408	WW domain containing transcription regulator 1 [Source:HGNC Symbol;Acc:24042]	3	3q25.1	149235022	149454501	oncogene	COSMIC
CD74	972	ENSG00000019582	CD74 molecule, major histocompatibility complex, class II invariant chain [Source:HGNC Symbol;Acc:1697]	5	5q32	149781200	149792492	oncogene	COSMIC
SAMD4A	23034	ENSG00000020577	sterile alpha motif domain containing 4A [Source:HGNC Symbol;Acc:23023]	14	14q22.2	55033815	55260033	oncogene	CCGD
BIRC3	330	ENSG00000023445	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:591]	11	11q22.2	102188215	102210134	oncogene	COSMIC
ZCCHC8	-4175	ENSG00000033030	zinc finger, CCHC domain containing 8 [Source:HGNC Symbol;Acc:25265]	12	12q24.31	122957417	122985518	oncogene	COSMIC
DEPDC1B	55789	ENSG00000035499	DEP domain containing 1B [Source:HGNC Symbol;Acc:24902]	5	5q12.1	59892739	59996017	oncogene	uniprot
FLT4	2324	ENSG00000037280	fms-related tyrosine kinase 4 [Source:HGNC Symbol;Acc:3767]	5	5q35.3	180028506	180076624	oncogene	COSMIC
TRIO	7204	ENSG00000038382	trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:12303]	5	5p15.2	14143811	14532235	oncogene	TAG
CUL7	9820	ENSG00000044090	cullin 7 [Source:HGNC Symbol;Acc:21024]	6	6p21.1	43005355	43021683	oncogene	TAG
TPR	7175	ENSG00000047410	translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:12017]	1	1q31.1	186280784	186344825	oncogene	COSMIC
GOPC	57120	ENSG00000047932	golgi-associated PDZ and coiled-coil motif containing [Source:HGNC Symbol;Acc:17643]	6	6q22.1	117639374	117923691	oncogene	COSMIC
ROS1	6098	ENSG00000047936	c-ros oncogene 1 , receptor tyrosine kinase [Source:HGNC Symbol;Acc:10261]	6	6q22.1	117609463	117747018	oncogene	COSMIC,CancerQuest
TNFRSF17	608	ENSG00000048462	tumor necrosis factor receptor superfamily, member 17 [Source:HGNC Symbol;Acc:11913]	16	16p13.13	12058964	12061925	oncogene	COSMIC
SNX29	92017	ENSG00000048471	sorting nexin 29 [Source:HGNC Symbol;Acc:30542]	16	16p13.13	12070594	12668146	oncogene	COSMIC
ELN	2006	ENSG00000049540	elastin [Source:HGNC Symbol;Acc:3327]	7	7q11.23	73442119	73484237	oncogene	COSMIC
ARHGEF5	7984	ENSG00000050327	Rho guanine nucleotide exchange factor (GEF) 5 [Source:HGNC Symbol;Acc:13209]	7	7q35	144052381	144077725	oncogene	PMID:19292927
LETMD1	25875	ENSG00000050426	LETM1 domain containing 1 [Source:HGNC Symbol;Acc:24241]	12	12q13.12	51441745	51454207	oncogene	uniprot
HERPUD1	9709	ENSG00000051108	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1 [Source:HGNC Symbol;Acc:13744]	16	16q13	56965960	56977798	oncogene	COSMIC
THRAP3	9967	ENSG00000054118	thyroid hormone receptor associated protein 3 [Source:HGNC Symbol;Acc:22964]	1	1p34.3	36690017	36770958	oncogene	COSMIC
ARID4B	51742	ENSG00000054267	AT rich interactive domain 4B (RBP1-like) [Source:HGNC Symbol;Acc:15550]	1	1q42.3	235294949	235491534	oncogene	CCGD
KCNH2	3757	ENSG00000055118	potassium voltage-gated channel, subfamily H (eag-related), member 2 [Source:HGNC Symbol;Acc:6251]	7	7q36.1	150642049	150675403	oncogene	COSMIC
PUM2	23369	ENSG00000055917	pumilio RNA-binding family member 2 [Source:HGNC Symbol;Acc:14958]	2	2p24.1	20448452	20551995	oncogene	CCGD
ATP11B	23200	ENSG00000058063	ATPase, class VI, type 11B [Source:HGNC Symbol;Acc:13553]	3	3q26.33	182511288	182639423	oncogene	CCGD
LAMC2	3918	ENSG00000058085	laminin, gamma 2 [Source:HGNC Symbol;Acc:6493]	1	1q25.3	183155373	183214035	oncogene	TAG
RASGRF1	5923	ENSG00000058335	Ras protein-specific guanine nucleotide-releasing factor 1 [Source:HGNC Symbol;Acc:9875]	15	15q25.1	79252289	79383115	oncogene	CCGD
STYK1	55359	ENSG00000060140	serine/threonine/tyrosine kinase 1 [Source:HGNC Symbol;Acc:18889]	12	12p13.2	10771538	10826917	oncogene	uniprot
WISP2	8839	ENSG00000064205	WNT1 inducible signaling pathway protein 2 [Source:HGNC Symbol;Acc:12770]	20	20q13.12	43343485	43357150	oncogene	TAG
CDON	50937	ENSG00000064309	cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:17104]	11	11q24.2	125825691	125933230	oncogene	TAG
ERBB3	2065	ENSG00000065361	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3 [Source:HGNC Symbol;Acc:3431]	12	12q13.2	56473641	56497289	oncogene	COSMIC
ANKRD44	91526	ENSG00000065413	ankyrin repeat domain 44 [Source:HGNC Symbol;Acc:25259]	2	2q33.1	197831741	198175897	oncogene	CCGD
SPEN	23013	ENSG00000065526	spen family transcriptional repressor [Source:HGNC Symbol;Acc:17575]	1	1p36.21	16174359	16266955	oncogene	COSMIC
SMARCD1	6602	ENSG00000066117	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1 [Source:HGNC Symbol;Acc:11106]	12	12q13.12	50478755	50494495	oncogene	COSMIC
FGFR2	2263	ENSG00000066468	fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:3689]	10	10q26.13	123237848	123357972	oncogene	COSMIC
ATP2B3	492	ENSG00000067842	ATPase, Ca++ transporting, plasma membrane 3 [Source:HGNC Symbol;Acc:816]	X	Xq28	152783134	152848397	oncogene	COSMIC
CBFB	865	ENSG00000067955	core-binding factor, beta subunit [Source:HGNC Symbol;Acc:1539]	16	16q22.1	67063019	67134961	oncogene	COSMIC
FGFR3	2261	ENSG00000068078	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:3690]	4	4p16.3	1795034	1810599	oncogene	COSMIC
BCL3	602	ENSG00000069399	B-cell CLL/lymphoma 3 [Source:HGNC Symbol;Acc:998]	19	19q13.32	45250962	45263301	oncogene	COSMIC
CLTCL1	8218	ENSG00000070371	clathrin, heavy chain-like 1 [Source:HGNC Symbol;Acc:2093]	22	22q11.21	19166986	19279239	oncogene	COSMIC
FSTL3	10272	ENSG00000070404	follistatin-like 3 (secreted glycoprotein) [Source:HGNC Symbol;Acc:3973]	19	19p13.3	676392	683385	oncogene	COSMIC
TFRC	7037	ENSG00000072274	transferrin receptor [Source:HGNC Symbol;Acc:11763]	3	3q29	195754054	195809060	oncogene	COSMIC
HMMR	3161	ENSG00000072571	hyaluronan-mediated motility receptor (RHAMM) [Source:HGNC Symbol;Acc:5012]	5	5q34	162887209	162918947	oncogene	TAG
FCGR2B	2213	ENSG00000072694	Fc fragment of IgG, low affinity IIb, receptor (CD32) [Source:HGNC Symbol;Acc:3618]	1	1q23.3	161551101	161648444	oncogene	COSMIC
FBXW11	23291	ENSG00000072803	F-box and WD repeat domain containing 11 [Source:HGNC Symbol;Acc:13607]	5	5q35.1	171288553	171433877	oncogene	CCGD
SMARCE1	6605	ENSG00000073584	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Source:HGNC Symbol;Acc:11109]	17	17q21.2	38781214	38804760	oncogene	COSMIC
MAP3K13	9175	ENSG00000073803	mitogen-activated protein kinase kinase kinase 13 [Source:HGNC Symbol;Acc:6852]	3	3q27.2	185000729	185206885	oncogene	COSMIC
GLI2	2736	ENSG00000074047	GLI family zinc finger 2 [Source:HGNC Symbol;Acc:4318]	2	2q14.2	121493199	121750229	oncogene	PMID:19292927
FGF4	2249	ENSG00000075388	fibroblast growth factor 4 [Source:HGNC Symbol;Acc:3682]	11	11q13.3	69587797	69590171	oncogene	CancerQuest,CancerQuest
FOSL2	-681	ENSG00000075426	FOS-like antigen 2 [Source:HGNC Symbol;Acc:3798]	2	2p23.2	28615315	28640179	oncogene	PMID:19292927
MOBKL2B	-5769	ENSG00000075643	molybdenum cofactor sulfurase [Source:HGNC Symbol;Acc:18234]	18	18q12.2	33767482	33852120	oncogene	CCGD
PAX2	5076	ENSG00000075891	paired box 2 [Source:HGNC Symbol;Acc:8616]	10	10q24.31	102495360	102589698	oncogene	TAG
TPD52	7163	ENSG00000076554	tumor protein D52 [Source:HGNC Symbol;Acc:12005]	8	8q21.13	80870571	81143467	oncogene	TAG
NT5C2	22978	ENSG00000076685	5'-nucleotidase, cytosolic II [Source:HGNC Symbol;Acc:8022]	10	10q24.32	104845940	104953056	oncogene	COSMIC
NFKB2	4791	ENSG00000077150	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Source:HGNC Symbol;Acc:7795]	10	10q24.32	104153867	104162281	oncogene	COSMIC
FGFR1	2260	ENSG00000077782	fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:3688]	8	8p11.23	38268656	38326352	oncogene	COSMIC
ARAF	369	ENSG00000078061	v-raf murine sarcoma 3611 viral oncogene homolog [Source:HGNC Symbol;Acc:646]	X	Xp11.23	47420516	47431307	oncogene	uniprot,PMID:19292927
HOXA9	3205	ENSG00000078399	homeobox A9 [Source:HGNC Symbol;Acc:5109]	7	7p15.2	27202054	27210117	oncogene	COSMIC
FGF20	-2783	ENSG00000078579	fibroblast growth factor 20 [Source:HGNC Symbol;Acc:3677]	8	8p22	16849678	16859690	oncogene	TAG
RUNX1T1	862	ENSG00000079102	runt-related transcription factor 1; translocated to, 1 (cyclin D-related) [Source:HGNC Symbol;Acc:1535]	8	8q21.3	92967203	93115514	oncogene	CancerQuest
DNM2	1785	ENSG00000079805	dynamin 2 [Source:HGNC Symbol;Acc:2974]	19	19p13.2	10828755	10944164	oncogene	COSMIC
HSP90AA1	3320	ENSG00000080824	heat shock protein 90kDa alpha (cytosolic), class A member 1 [Source:HGNC Symbol;Acc:5253]	14	14q32.31	102547075	102606036	oncogene	COSMIC
MAGI3	260425	ENSG00000081026	membrane associated guanylate kinase, WW and PDZ domain containing 3 [Source:HGNC Symbol;Acc:29647]	1	1p13.2	113933371	114228545	oncogene	CCGD
CXCL2	2920	ENSG00000081041	chemokine (C-X-C motif) ligand 2 [Source:HGNC Symbol;Acc:4603]	4	4q13.3	74962752	74965010	oncogene	PMID:19292927
ERC1	23085	ENSG00000082805	ELKS/RAB6-interacting/CAST family member 1 [Source:HGNC Symbol;Acc:17072]	12	12p13.33	1099675	1605099	oncogene	COSMIC
XPO1	7514	ENSG00000082898	exportin 1 (CRM1 homolog, yeast) [Source:HGNC Symbol;Acc:12825]	2	2p15	61704984	61765761	oncogene	COSMIC
NCOA1	8648	ENSG00000084676	nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:7668]	2	2p23.3	24714783	24993571	oncogene	COSMIC
CTTN	2017	ENSG00000085733	cortactin [Source:HGNC Symbol;Acc:3338]	11	11q13.3	70244510	70282690	oncogene	TAG
EPS15	2060	ENSG00000085832	epidermal growth factor receptor pathway substrate 15 [Source:HGNC Symbol;Acc:3419]	1	1p32.3	51819935	51985000	oncogene	COSMIC
HUWE1	10075	ENSG00000086758	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:30892]	X	Xp11.22	53559057	53713673	oncogene	CCGD
GNAS	2778	ENSG00000087460	GNAS complex locus [Source:HGNC Symbol;Acc:4392]	20	20q13.32	57414773	57486247	oncogene	CANgenes,COSMIC
AURKA	6790	ENSG00000087586	aurora kinase A [Source:HGNC Symbol;Acc:11393]	20	20q13.2	54944445	54967393	oncogene	TAG
GNA11	-5846	ENSG00000088256	guanine nucleotide binding protein (G protein), alpha 11 (Gq class) [Source:HGNC Symbol;Acc:4379]	19	19p13.3	3094408	3124002	oncogene	COSMIC
SLC9A1	6548	ENSG00000090020	solute carrier family 9, subfamily A (NHE1, cation proton antiporter 1), member 1 [Source:HGNC Symbol;Acc:11071]	1	1p36.11	27425306	27493472	oncogene	CCGD
THPO	7066	ENSG00000090534	thrombopoietin [Source:HGNC Symbol;Acc:11795]	3	3q27.1	184089723	184095932	oncogene	PMID:19292927
TOX4	9878	ENSG00000092203	TOX high mobility group box family member 4 [Source:HGNC Symbol;Acc:20161]	14	14q11.2	21944756	21967319	oncogene	COSMIC
EZR	7430	ENSG00000092820	ezrin [Source:HGNC Symbol;Acc:12691]	6	6q25.3	159186773	159240444	oncogene	COSMIC
LRRFIP2	9209	ENSG00000093167	leucine rich repeat (in FLII) interacting protein 2 [Source:HGNC Symbol;Acc:6703]	3	3p22.2	37094117	37225180	oncogene	CCGD
HSP90AB1	3326	ENSG00000096384	heat shock protein 90kDa alpha (cytosolic), class B member 1 [Source:HGNC Symbol;Acc:5258]	6	6p21.1	44214824	44221620	oncogene	COSMIC
CDC5L	988	ENSG00000096401	cell division cycle 5-like [Source:HGNC Symbol;Acc:1743]	6	6p21.1	44355262	44418163	oncogene	TAG
JAK2	3717	ENSG00000096968	Janus kinase 2 [Source:HGNC Symbol;Acc:6192]	9	9p24.1	4985033	5128183	oncogene	CCGD
ABL1	25	ENSG00000097007	c-abl oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:76]	9	9q34.12	133589333	133763062	oncogene	COSMIC,
CRKL	1399	ENSG00000099942	v-crk avian sarcoma virus CT10 oncogene homolog-like [Source:HGNC Symbol;Acc:2363]	22	22q11.21	21271714	21308037	oncogene	TAG
PATZ1	23598	ENSG00000100105	POZ (BTB) and AT hook containing zinc finger 1 [Source:HGNC Symbol;Acc:13071]	22	22q12.2	31721790	31742218	oncogene	uniprot
PDGFB	5155	ENSG00000100311	platelet-derived growth factor beta polypeptide [Source:HGNC Symbol;Acc:8800]	22	22q13.1	39619364	39640756	oncogene	CancerQuest
NKX2-1	51199	ENSG00000100503	ninein (GSK3B interacting protein) [Source:HGNC Symbol;Acc:14906]	14	14q22.1	51186481	51297839	oncogene	COSMIC
TCL1A	8115	ENSG00000100721	T-cell leukemia/lymphoma 1A [Source:HGNC Symbol;Acc:11648]	14	14q32.13	96176304	96180533	oncogene	COSMIC
CCNB1IP1	57820	ENSG00000100814	cyclin B1 interacting protein 1, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:19437]	14	14q11.2	20779527	20801471	oncogene	COSMIC
TRIP11	9321	ENSG00000100815	thyroid hormone receptor interactor 11 [Source:HGNC Symbol;Acc:12305]	14	14q32.12	92432335	92507240	oncogene	COSMIC
MYBL2	4605	ENSG00000101057	v-myb avian myeloblastosis viral oncogene homolog-like 2 [Source:HGNC Symbol;Acc:7548]	20	20q13.12	42295754	42345136	oncogene	PMID:19292927
PABPC1L	80336	ENSG00000101104	poly(A) binding protein, cytoplasmic 1-like [Source:HGNC Symbol;Acc:15797]	20	20q13.12	43538703	43587676	oncogene	CCGD
CDC25B	994	ENSG00000101224	cell division cycle 25B [Source:HGNC Symbol;Acc:1726]	20	20p13	3767578	3786762	oncogene	TAG
HCK	3055	ENSG00000101336	hemopoietic cell kinase [Source:HGNC Symbol;Acc:4840]	20	20q11.21	30639991	30689659	oncogene	PMID:19292927
MANBAL	63905	ENSG00000101363	mannosidase, beta A, lysosomal-like [Source:HGNC Symbol;Acc:15799]	20	20q11.23	35918041	35945663	oncogene	CCGD
FAM83D	81610	ENSG00000101447	family with sequence similarity 83, member D [Source:HGNC Symbol;Acc:16122]	20	20q11.23	37554955	37581703	oncogene	uniprot
PIGU	128869	ENSG00000101464	phosphatidylinositol glycan anchor biosynthesis, class U [Source:HGNC Symbol;Acc:15791]	20	20q11.22	33148346	33264910	oncogene	CCGD
VAPA	9218	ENSG00000101558	VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa [Source:HGNC Symbol;Acc:12648]	18	18p11.22	9913999	9960018	oncogene	CCGD
MCF2	4168	ENSG00000101977	MCF.2 cell line derived transforming sequence [Source:HGNC Symbol;Acc:6940]	X	Xq27.1	138663929	138790386	oncogene	CancerQuest,PMID:19292927
ELF4	2000	ENSG00000102034	E74-like factor 4 (ets domain transcription factor) [Source:HGNC Symbol;Acc:3319]	X	Xq26.1	129198849	129244691	oncogene	COSMIC
PIM2	11040	ENSG00000102096	pim-2 oncogene [Source:HGNC Symbol;Acc:8987]	X	Xp11.23	48770459	48776301	oncogene	uniprot
RBM3	-6602	ENSG00000102317	RNA binding motif (RNP1, RRM) protein 3 [Source:HGNC Symbol;Acc:9900]	X	Xp11.23	48432837	48437454	oncogene	TAG
FLT1	2321	ENSG00000102755	fms-related tyrosine kinase 1 [Source:HGNC Symbol;Acc:3763]	13	13q12.2	28874489	29069265	oncogene	PMID:19292927
IL21R	-5171	ENSG00000103522	interleukin 21 receptor [Source:HGNC Symbol;Acc:6006]	16	16p12.1	27413483	27462115	oncogene	COSMIC
CSK	1445	ENSG00000103653	c-src tyrosine kinase [Source:HGNC Symbol;Acc:2444]	15	15q24.1	75074398	75095539	oncogene	TAG
IKBKB	3551	ENSG00000104365	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Source:HGNC Symbol;Acc:5960]	8	8p11.21	42128820	42189973	oncogene	COSMIC
EIF3E	3646	ENSG00000104408	eukaryotic translation initiation factor 3, subunit E [Source:HGNC Symbol;Acc:3277]	8	8q23.1	109213445	109447562	oncogene	COSMIC
WISP1	-2974	ENSG00000104415	WNT1 inducible signaling pathway protein 1 [Source:HGNC Symbol;Acc:12769]	8	8q24.22	134203282	134242587	oncogene	uniprot
ERCC2	2068	ENSG00000104884	excision repair cross-complementing rodent repair deficiency, complementation group 2 [Source:HGNC Symbol;Acc:3434]	19	19q13.32	45853095	45874176	oncogene	COSMIC
RNASEH2A	10535	ENSG00000104889	ribonuclease H2, subunit A [Source:HGNC Symbol;Acc:18518]	19	19p13.2	12917394	12924452	oncogene	PMID:19292927
LYL1	4066	ENSG00000104903	lymphoblastic leukemia derived sequence 1 [Source:HGNC Symbol;Acc:6734]	19	19p13.2	13209847	13213975	oncogene	COSMIC
CCNE1	898	ENSG00000105173	cyclin E1 [Source:HGNC Symbol;Acc:1589]	19	19q12	30302805	30315215	oncogene	COSMIC
AKT2	208	ENSG00000105221	v-akt murine thymoma viral oncogene homolog 2 [Source:HGNC Symbol;Acc:392]	19	19q13.2	40736224	40791443	oncogene	COSMIC,uniprot
CD79A	973	ENSG00000105369	CD79a molecule, immunoglobulin-associated alpha [Source:HGNC Symbol;Acc:1698]	19	19q13.2	42381190	42385439	oncogene	COSMIC
PPP2R1A	-6084	ENSG00000105568	protein phosphatase 2, regulatory subunit A, alpha [Source:HGNC Symbol;Acc:9302]	19	19q13.41	52693292	52730687	oncogene	COSMIC
TFPT	29844	ENSG00000105619	TCF3 (E2A) fusion partner (in childhood Leukemia) [Source:HGNC Symbol;Acc:13630]	19	19q13.42	54610320	54619055	oncogene	COSMIC
JAK3	3718	ENSG00000105639	Janus kinase 3 [Source:HGNC Symbol;Acc:6193]	19	19p13.11	17935589	17958880	oncogene	COSMIC
ELL	8178	ENSG00000105656	elongation factor RNA polymerase II [Source:HGNC Symbol;Acc:23114]	19	19p13.11	18553473	18632937	oncogene	COSMIC
CRTC1	23373	ENSG00000105662	CREB regulated transcription coactivator 1 [Source:HGNC Symbol;Acc:16062]	19	19p13.11	18794487	18893004	oncogene	COSMIC
WNT2	7472	ENSG00000105989	wingless-type MMTV integration site family member 2 [Source:HGNC Symbol;Acc:12780]	7	7q31.2	116916685	116963343	oncogene	PMID:19292927
HOXA13	-2434	ENSG00000106031	homeobox A13 [Source:HGNC Symbol;Acc:5102]	7	7p15.2	27233122	27239725	oncogene	COSMIC
AGR2	10551	ENSG00000106541	anterior gradient 2 [Source:HGNC Symbol;Acc:328]	7	7p21.1	16831435	16873057	oncogene	uniprot
GLI3	2737	ENSG00000106571	GLI family zinc finger 3 [Source:HGNC Symbol;Acc:4319]	7	7p14.1	42000548	42277469	oncogene	PMID:19292927
MAPK8	5599	ENSG00000107643	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:6881]	10	10q11.22	49514698	49647403	oncogene	TAG
TLX1	3195	ENSG00000107807	T-cell leukemia homeobox 1 [Source:HGNC Symbol;Acc:5056]	10	10q24.31	102889257	102897545	oncogene	COSMIC
FGF8	-3519	ENSG00000107831	fibroblast growth factor 8 (androgen-induced) [Source:HGNC Symbol;Acc:3686]	10	10q24.32	103529899	103535854	oncogene	TAG
CCDC6	8030	ENSG00000108091	coiled-coil domain containing 6 [Source:HGNC Symbol;Acc:18782]	10	10q21.2	61548521	61666414	oncogene	COSMIC
ZMIZ1	57178	ENSG00000108175	zinc finger, MIZ-type containing 1 [Source:HGNC Symbol;Acc:16493]	10	10q22.3	80828792	81076276	oncogene	CCGD
MLLT3	4302	ENSG00000108292	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6 [Source:HGNC Symbol;Acc:7138]	17	17q12	36861795	36886056	oncogene	COSMIC
WNT3	7473	ENSG00000108379	wingless-type MMTV integration site family, member 3 [Source:HGNC Symbol;Acc:12782]	17	17q21.31	44839872	44910520	oncogene	uniprot
RPS6KB1	6198	ENSG00000108443	ribosomal protein S6 kinase, 70kDa, polypeptide 1 [Source:HGNC Symbol;Acc:10436]	17	17q23.1	57970447	58027925	oncogene	CCGD
DDX5	1655	ENSG00000108654	DEAD (Asp-Glu-Ala-Asp) box helicase 5 [Source:HGNC Symbol;Acc:2746]	17	17q23.3	62495734	62504317	oncogene	COSMIC
COL1A1	1277	ENSG00000108821	collagen, type I, alpha 1 [Source:HGNC Symbol;Acc:2197]	17	17q21.33	48260650	48278993	oncogene	COSMIC
HLF	3131	ENSG00000108924	hepatic leukemia factor [Source:HGNC Symbol;Acc:4977]	17	17q22	53342373	53402426	oncogene	COSMIC
PHOX2B	8929	ENSG00000109132	paired-like homeobox 2b [Source:HGNC Symbol;Acc:9143]	4	4p13	41746099	41750987	oncogene	COSMIC
CHIC2	26511	ENSG00000109220	cysteine-rich hydrophobic domain 2 [Source:HGNC Symbol;Acc:1935]	4	4q12	54875956	54930857	oncogene	COSMIC
IL2	-1671	ENSG00000109471	interleukin 2 [Source:HGNC Symbol;Acc:6001]	4	4q27	123372625	123377880	oncogene	COSMIC
RAPGEF2	9693	ENSG00000109756	Rap guanine nucleotide exchange factor (GEF) 2 [Source:HGNC Symbol;Acc:16854]	4	4q32.1	160025330	160281321	oncogene	CCGD
CCND1	595	ENSG00000110092	cyclin D1 [Source:HGNC Symbol;Acc:1582]	11	11q13.3	69455855	69469242	oncogene	Bushman Lab,COSMIC
DDX6	-3864	ENSG00000110367	DEAD (Asp-Glu-Ala-Asp) box helicase 6 [Source:HGNC Symbol;Acc:2747]	11	11q23.3	118620034	118661858	oncogene	COSMIC
CARS	833	ENSG00000110619	cysteinyl-tRNA synthetase [Source:HGNC Symbol;Acc:1493]	11	11p15.4	3022152	3078843	oncogene	COSMIC
CHKA	1119	ENSG00000110721	choline kinase alpha [Source:HGNC Symbol;Acc:1937]	11	11q13.2	67820326	67888911	oncogene	CCGD
POU2AF1	5450	ENSG00000110777	POU class 2 associating factor 1 [Source:HGNC Symbol;Acc:9211]	11	11q23.1	111222977	111326355	oncogene	COSMIC
PPFIBP1	8496	ENSG00000110841	PTPRF interacting protein, binding protein 1 (liprin beta 1) [Source:HGNC Symbol;Acc:9249]	12	12p11.23	27676364	27848497	oncogene	COSMIC
MVK	4598	ENSG00000110921	mevalonate kinase [Source:HGNC Symbol;Acc:7530]	12	12q24.11	110011060	110035067	oncogene	CancerQuest
BCL7A	-4173	ENSG00000110987	B-cell CLL/lymphoma 7A [Source:HGNC Symbol;Acc:1004]	12	12q24.31	122457328	122499948	oncogene	COSMIC
ELK3	-4110	ENSG00000111145	ELK3, ETS-domain protein (SRF accessory protein 2) [Source:HGNC Symbol;Acc:3325]	12	12q23.1	96588160	96663613	oncogene	PMID:19292927
FGF6	2251	ENSG00000111241	fibroblast growth factor 6 [Source:HGNC Symbol;Acc:3684]	12	12p13.32	4537321	4554780	oncogene	PMID:19292927
ALDH2	217	ENSG00000111275	aldehyde dehydrogenase 2 family (mitochondrial) [Source:HGNC Symbol;Acc:404]	12	12q24.12	112204691	112247782	oncogene	COSMIC
IFNG	3458	ENSG00000111537	interferon, gamma [Source:HGNC Symbol;Acc:5438]	12	12q15	68548548	68553527	oncogene	CCGD
NPEPPS	4839	ENSG00000111641	NOP2 nucleolar protein [Source:HGNC Symbol;Acc:7867]	12	12p13.31	6666029	6677857	oncogene	CCGD
FANCE	2178	ENSG00000112039	Fanconi anemia, complementation group E [Source:HGNC Symbol;Acc:3586]	6	6p21.31	35420138	35434880	oncogene	COSMIC
KCTD20	222658	ENSG00000112078	potassium channel tetramerization domain containing 20 [Source:HGNC Symbol;Acc:21052]	6	6p21.31	36410544	36458920	oncogene	CCGD
