Gene_symbol	GENEID	EnsembleID	Description	Chromomsome	Position	Start	End	GENE_TYPE	Source
APAF1	317	ENSG00000120868	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:576]	12	12q23.1	99038919	99129204	TSG	TSGene
APC	324	ENSG00000134982	adenomatous polyposis coli [Source:HGNC Symbol;Acc:583]	5	5q22.2	112043195	112181936	TSG	TSGene
APITD1	100526739	ENSG00000175279	apoptosis-inducing, TAF9-like domain 1 [Source:HGNC Symbol;Acc:23163]	1	1p36.22	10490159	10512210	TSG	TSGene
ARF1	375	ENSG00000143761	ADP-ribosylation factor 1 [Source:HGNC Symbol;Acc:652]	1	1q42.13	228270361	228286912	TSG	TSGene
ARG1	383	ENSG00000118520	arginase 1 [Source:HGNC Symbol;Acc:663]	6	6q23.2	131894284	131905472	TSG	TSGene
ARHGAP29	-275	ENSG00000137962	Rho GTPase activating protein 29 [Source:HGNC Symbol;Acc:30207]	1	1p22.1	94614544	94740624	TSG	TSGene
ARHGEF12	23365	ENSG00000196914	Rho guanine nucleotide exchange factor (GEF) 12 [Source:HGNC Symbol;Acc:14193]	11	11q23.3	120207787	120360645	TSG	TSGene
ARID1A	8289	ENSG00000117713	AT rich interactive domain 1A (SWI-like) [Source:HGNC Symbol;Acc:11110]	1	1p36.11	27022524	27108595	TSG	TSGene
ARID2	196528	ENSG00000189079	AT rich interactive domain 2 (ARID, RFX-like) [Source:HGNC Symbol;Acc:18037]	12	12q12	46123448	46301823	TSG	TSGene
ARL11	115761	ENSG00000152213	ADP-ribosylation factor-like 11 [Source:HGNC Symbol;Acc:24046]	13	13q14.2	50202435	50208008	TSG	TSGene
ARL6IP5	10550	ENSG00000144746	ADP-ribosylation-like factor 6 interacting protein 5 [Source:HGNC Symbol;Acc:16937]	3	3p14.1	69134095	69155217	TSG	TSGene
ARMC10	83787	ENSG00000170632	armadillo repeat containing 10 [Source:HGNC Symbol;Acc:21706]	7	7q22.1	102715328	102740205	TSG	TSGene
ARMC5	79798	ENSG00000140691	armadillo repeat containing 5 [Source:HGNC Symbol;Acc:25781]	16	16p11.2	31469401	31478487	TSG	TSGene
ARNTL	406	ENSG00000133794	aryl hydrocarbon receptor nuclear translocator-like [Source:HGNC Symbol;Acc:701]	11	11p15.2	13298199	13408813	TSG	TSGene
ASCL1	429	ENSG00000139352	achaete-scute family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:738]	12	12q23.2	103351464	103354294	TSG	TSGene
ASS1	445	ENSG00000130707	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:758]	9	9q34.11	133320316	133376661	TSG	TSGene
ASXL1	171023	ENSG00000171456	additional sex combs like 1 (Drosophila) [Source:HGNC Symbol;Acc:18318]	20	20q11.21	30946155	31027122	TSG	TSGene
ATF3	467	ENSG00000162772	activating transcription factor 3 [Source:HGNC Symbol;Acc:785]	1	1q32.3	212738676	212794119	TSG	TSGene
ATM	472	ENSG00000149311	ataxia telangiectasia mutated [Source:HGNC Symbol;Acc:795]	11	11q22.3	108093211	108239829	TSG	TSGene
ATMIN	23300	ENSG00000166454	ATM interactor [Source:HGNC Symbol;Acc:29034]	16	16q23.2	81069452	81080963	TSG	TSGene
ATR	545	ENSG00000175054	ataxia telangiectasia and Rad3 related [Source:HGNC Symbol;Acc:882]	3	3q23	142168077	142297668	TSG	TSGene
AXIN1	8312	ENSG00000103126	axin 1 [Source:HGNC Symbol;Acc:903]	16	16p13.3	337440	402673	TSG	TSGene
AXIN2	8313	ENSG00000168646	axin 2 [Source:HGNC Symbol;Acc:904]	17	17q24.1	63524681	63557765	TSG	TSGene
AZGP1	563	ENSG00000160862	alpha-2-glycoprotein 1, zinc-binding [Source:HGNC Symbol;Acc:910]	7	7q22.1	99564343	99573780	TSG	TSGene
BANP	54971	ENSG00000172530	BTG3 associated nuclear protein [Source:HGNC Symbol;Acc:13450]	16	16q24.2	87982850	88110924	TSG	TSGene
BAP1	8314	ENSG00000163930	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase) [Source:HGNC Symbol;Acc:950]	3	3p21.1	52435029	52444366	TSG	TSGene
BARD1	580	ENSG00000138376	BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:952]	2	2q35	215590370	215674428	TSG	TSGene
BASP1	10409	ENSG00000176788	brain abundant, membrane attached signal protein 1 [Source:HGNC Symbol;Acc:957]	5	5p15.1	17065707	17276943	TSG	TSGene
BATF2	116071	ENSG00000168062	basic leucine zipper transcription factor, ATF-like 2 [Source:HGNC Symbol;Acc:25163]	11	11q13.1	64755415	64764517	TSG	TSGene
BAX	581	ENSG00000087088	BCL2-associated X protein [Source:HGNC Symbol;Acc:959]	19	19q13.33	49458072	49465055	TSG	TSGene
BBC3	27113	ENSG00000105327	BCL2 binding component 3 [Source:HGNC Symbol;Acc:17868]	19	19q13.32	47724081	47736023	TSG	TSGene
BCL10	8915	ENSG00000142867	B-cell CLL/lymphoma 10 [Source:HGNC Symbol;Acc:989]	1	1p22.3	85731931	85742773	TSG	TSGene
BCL2L11	10018	ENSG00000153094	BCL2-like 11 (apoptosis facilitator) [Source:HGNC Symbol;Acc:994]	2	2q13	111876955	111926024	TSG	TSGene
BCL6B	255877	ENSG00000161940	B-cell CLL/lymphoma 6, member B [Source:HGNC Symbol;Acc:1002]	17	17p13.1	6926339	6933609	TSG	TSGene
BCORL1	63035	ENSG00000085185	BCL6 corepressor-like 1 [Source:HGNC Symbol;Acc:25657]	X	Xq26.1	129115083	129192058	TSG	TSGene
BECN1	8678	ENSG00000126581	beclin 1, autophagy related [Source:HGNC Symbol;Acc:1034]	17	17q21.31	40962152	40985367	TSG	TSGene
BEX2	84707	ENSG00000133134	brain expressed X-linked 2 [Source:HGNC Symbol;Acc:30933]	X	Xq22.1	102564274	102565974	TSG	TSGene
BHLHE41	79365	ENSG00000123095	basic helix-loop-helix family, member e41 [Source:HGNC Symbol;Acc:16617]	12	12p12.1	26272959	26278060	TSG	TSGene
BIK	638	ENSG00000100290	BCL2-interacting killer (apoptosis-inducing) [Source:HGNC Symbol;Acc:1051]	22	22q13.2	43506754	43525718	TSG	TSGene
BIN1	274	ENSG00000136717	bridging integrator 1 [Source:HGNC Symbol;Acc:1052]	2	2q14.3	127805603	127864931	TSG	TSGene
BLCAP	10904	ENSG00000166619	bladder cancer associated protein [Source:HGNC Symbol;Acc:1055]	20	20q11.23	36120874	36156333	TSG	TSGene
BLID	414899	ENSG00000259571	BH3-like motif containing, cell death inducer [Source:HGNC Symbol;Acc:33495]	11	11q24.1	121986062	121986923	TSG	TSGene
BLM	641	ENSG00000197299	Bloom syndrome, RecQ helicase-like [Source:HGNC Symbol;Acc:1058]	15	15q26.1	91260558	91358859	TSG	TSGene
BLNK	29760	ENSG00000095585	B-cell linker [Source:HGNC Symbol;Acc:14211]	10	10q24.1	97951458	98031344	TSG	TSGene
BMF	90427	ENSG00000104081	Bcl2 modifying factor [Source:HGNC Symbol;Acc:24132]	15	15q15.1	40380091	40401093	TSG	TSGene
BMP10	27302	ENSG00000163217	bone morphogenetic protein 10 [Source:HGNC Symbol;Acc:20869]	2	2p13.3	69092613	69098649	TSG	TSGene
BMP2	650	ENSG00000125845	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:1069]	20	20p12.3	6748311	6760927	TSG	TSGene
BMP4	652	ENSG00000125378	bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:1071]	14	14q22.2	54416454	54425479	TSG	TSGene
BMPR1A	-3471	ENSG00000107779	bone morphogenetic protein receptor, type IA [Source:HGNC Symbol;Acc:1076]	10	10q23.2	88516407	88692595	TSG	TSGene
BMPR2	659	ENSG00000204217	bone morphogenetic protein receptor, type II (serine/threonine kinase) [Source:HGNC Symbol;Acc:1078]	2	2q33.1	203241659	203432474	TSG	TSGene
BNIP3L	665	ENSG00000104765	BCL2/adenovirus E1B 19kDa interacting protein 3-like [Source:HGNC Symbol;Acc:1085]	8	8p21.2	26240414	26363152	TSG	TSGene
BRD7	29117	ENSG00000166164	bromodomain containing 7 [Source:HGNC Symbol;Acc:14310]	16	16q12.1	50347398	50402845	TSG	TSGene
BRF1	2972	ENSG00000185024	BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit [Source:HGNC Symbol;Acc:11551]	14	14q32.33	105675623	105781926	TSG	TSGene
BRMS1	25855	ENSG00000174744	breast cancer metastasis suppressor 1 [Source:HGNC Symbol;Acc:17262]	11	11q13.2	66104804	66112596	TSG	TSGene
BRSK1	84446	ENSG00000160469	BR serine/threonine kinase 1 [Source:HGNC Symbol;Acc:18994]	19	19q13.42	55793440	55823901	TSG	TSGene
BTG2	7832	ENSG00000159388	BTG family, member 2 [Source:HGNC Symbol;Acc:1131]	1	1q32.1	203274619	203278730	TSG	TSGene
BTG3	10950	ENSG00000154640	BTG family, member 3 [Source:HGNC Symbol;Acc:1132]	21	21q21.1	18965971	18985265	TSG	TSGene
BTG4	54766	ENSG00000137707	B-cell translocation gene 4 [Source:HGNC Symbol;Acc:13862]	11	11q23.1	111338251	111383079	TSG	TSGene
BTK	695	ENSG00000010671	Bruton agammaglobulinemia tyrosine kinase [Source:HGNC Symbol;Acc:1133]	X	Xq22.1	100604435	100641183	TSG	TSGene
C2orf40	84417	ENSG00000119147	chromosome 2 open reading frame 40 [Source:HGNC Symbol;Acc:24642]	2	2q12.2	106679702	106694615	TSG	TSGene
CABLES1	91768	ENSG00000134508	Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:25097]	18	18q11.2	20714528	20840431	TSG	TSGene
CACNA2D3	55799	ENSG00000157445	calcium channel, voltage-dependent, alpha 2/delta subunit 3 [Source:HGNC Symbol;Acc:15460]	3	3p21.1	54156574	55108584	TSG	TSGene
CADM1	23705	ENSG00000182985	cell adhesion molecule 1 [Source:HGNC Symbol;Acc:5951]	11	11q23.3	115039938	115375675	TSG	TSGene
CADM2	253559	ENSG00000175161	cell adhesion molecule 2 [Source:HGNC Symbol;Acc:29849]	3	3p12.1	85008132	86123579	TSG	TSGene
CADM3	57863	ENSG00000162706	cell adhesion molecule 3 [Source:HGNC Symbol;Acc:17601]	1	1q23.2	159141399	159173103	TSG	TSGene
CADM4	199731	ENSG00000105767	cell adhesion molecule 4 [Source:HGNC Symbol;Acc:30825]	19	19q13.31	44126520	44143991	TSG	TSGene
CAMK2N1	55450	ENSG00000162545	calcium/calmodulin-dependent protein kinase II inhibitor 1 [Source:HGNC Symbol;Acc:24190]	1	1p36.12	20808884	20812713	TSG	TSGene
CAMTA1	23261	ENSG00000171735	calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:18806]	1	1p36.31	6845384	7829766	TSG	TSGene
CAPG	822	ENSG00000042493	capping protein (actin filament), gelsolin-like [Source:HGNC Symbol;Acc:1474]	2	2p11.2	85621871	85645555	TSG	TSGene
CASC1	55259	ENSG00000118307	cancer susceptibility candidate 1 [Source:HGNC Symbol;Acc:29599]	12	12p12.1	25261354	25348096	TSG	TSGene
CASC2	255082	ENSG00000177640	cancer susceptibility candidate 2 (non-protein coding) [Source:HGNC Symbol;Acc:22933]	10	10q26.11	119805790	119969663	TSG	TSGene
CASP2	835	ENSG00000106144	caspase 2, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1503]	7	7q34	142985308	143004789	TSG	TSGene
CASP5	838	ENSG00000137757	caspase 5, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1506]	11	11q22.3	104864962	104893895	TSG	TSGene
CASP8	841	ENSG00000064012	caspase 8, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1509]	2	2q33.1	202098166	202152434	TSG	TSGene
CAT	847	ENSG00000121691	catalase [Source:HGNC Symbol;Acc:1516]	11	11p13	34460472	34493609	TSG	TSGene
CAV1	857	ENSG00000105974	caveolin 1, caveolae protein, 22kDa [Source:HGNC Symbol;Acc:1527]	7	7q31.2	116164839	116201233	TSG	TSGene
CBFA2T3	863	ENSG00000129993	core-binding factor, runt domain, alpha subunit 2; translocated to, 3 [Source:HGNC Symbol;Acc:1537]	16	16q24.3	88941266	89043612	TSG	TSGene
CBL	867	ENSG00000110395	Cbl proto-oncogene, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:1541]	11	11q23.3	119076752	119178859	TSG	TSGene
CBX5	23468	ENSG00000094916	chromobox homolog 5 [Source:HGNC Symbol;Acc:1555]	12	12q13.13	54624724	54673886	TSG	TSGene
CCAR1	55749	ENSG00000060339	cell division cycle and apoptosis regulator 1 [Source:HGNC Symbol;Acc:24236]	10	10q21.3	70480769	70552134	TSG	TSGene
CCDC136	64753	ENSG00000128596	coiled-coil domain containing 136 [Source:HGNC Symbol;Acc:22225]	7	7q32.1	128430811	128462186	TSG	TSGene
CCDC154	-5099	ENSG00000197599	coiled-coil domain containing 154 [Source:HGNC Symbol;Acc:34454]	16	16p13.3	1484384	1494557	TSG	TSGene
CCDC67	159989	ENSG00000165325	coiled-coil domain containing 67 [Source:HGNC Symbol;Acc:26344]	11	11q21	93063137	93171653	TSG	TSGene
CCNC	892	ENSG00000112237	cyclin C [Source:HGNC Symbol;Acc:1581]	6	6q16.2	99990256	100016849	TSG	TSGene
CCNDBP1	-4907	ENSG00000166946	cyclin D-type binding-protein 1 [Source:HGNC Symbol;Acc:1587]	15	15q15.2	43477316	43487396	TSG	TSGene
CD4	920	ENSG00000010610	CD4 molecule [Source:HGNC Symbol;Acc:1678]	12	12p13.31	6896024	6929974	TSG	TSGene
CD44	960	ENSG00000026508	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:1681]	11	11p13	35160417	35253949	TSG	TSGene
CD82	-3672	ENSG00000085117	CD82 molecule [Source:HGNC Symbol;Acc:6210]	11	11p11.2	44585977	44641913	TSG	TSGene
CDC73	79577	ENSG00000134371	cell division cycle 73 [Source:HGNC Symbol;Acc:16783]	1	1q31.2	193091147	193223031	TSG	TSGene
CDCP1	64866	ENSG00000163814	CUB domain containing protein 1 [Source:HGNC Symbol;Acc:24357]	3	3p21.31	45123770	45187914	TSG	TSGene
CDH1	999	ENSG00000039068	cadherin 1, type 1, E-cadherin (epithelial) [Source:HGNC Symbol;Acc:1748]	16	16q22.1	68771128	68869451	TSG	TSGene
CDH11	-5271	ENSG00000140937	cadherin 11, type 2, OB-cadherin (osteoblast) [Source:HGNC Symbol;Acc:1750]	16	16q21	64977656	65160015	TSG	TSGene
CDH13	1012	ENSG00000140945	cadherin 13 [Source:HGNC Symbol;Acc:1753]	16	16q23.3	82660408	83830204	TSG	TSGene
CDH17	1015	ENSG00000079112	cadherin 17, LI cadherin (liver-intestine) [Source:HGNC Symbol;Acc:1756]	8	8q22.1	95139399	95229531	TSG	TSGene
CDH4	1002	ENSG00000179242	cadherin 4, type 1, R-cadherin (retinal) [Source:HGNC Symbol;Acc:1763]	20	20q13.33	59827482	60515673	TSG	TSGene
CDH5	1003	ENSG00000179776	cadherin 5, type 2 (vascular endothelium) [Source:HGNC Symbol;Acc:1764]	16	16q21	66400533	66438686	TSG	TSGene
CDK2	1017	ENSG00000123374	cyclin-dependent kinase 2 [Source:HGNC Symbol;Acc:1771]	12	12q13.2	56360553	56366568	TSG	TSGene
CDK2AP1	8099	ENSG00000111328	cyclin-dependent kinase 2 associated protein 1 [Source:HGNC Symbol;Acc:14002]	12	12q24.31	123745528	123756881	TSG	TSGene
CDK6	1021	ENSG00000105810	cyclin-dependent kinase 6 [Source:HGNC Symbol;Acc:1777]	7	7q21.2	92234235	92465908	TSG	TSGene
CDKN1A	1026	ENSG00000124762	cyclin-dependent kinase inhibitor 1A (p21, Cip1) [Source:HGNC Symbol;Acc:1784]	6	6p21.2	36644305	36655116	TSG	TSGene
CDKN1B	1027	ENSG00000111276	cyclin-dependent kinase inhibitor 1B (p27, Kip1) [Source:HGNC Symbol;Acc:1785]	12	12p13.1	12867992	12875305	TSG	TSGene
CDKN1C	1028	ENSG00000129757	cyclin-dependent kinase inhibitor 1C (p57, Kip2) [Source:HGNC Symbol;Acc:1786]	11	11p15.4	2904443	2907111	TSG	TSGene
CDKN2A	1029	ENSG00000147889	cyclin-dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:1787]	9	9p21.3	21967751	21995300	TSG	TSGene
CDKN2B	1030	ENSG00000147883	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4) [Source:HGNC Symbol;Acc:1788]	9	9p21.3	22002902	22009362	TSG	TSGene
CDKN2C	1031	ENSG00000123080	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4) [Source:HGNC Symbol;Acc:1789]	1	1p32.3	51426417	51440305	TSG	TSGene
CDO1	1036	ENSG00000129596	cysteine dioxygenase type 1 [Source:HGNC Symbol;Acc:1795]	5	5q22.3	115140430	115152651	TSG	TSGene
CDX2	-4258	ENSG00000165556	caudal type homeobox 2 [Source:HGNC Symbol;Acc:1806]	13	13q12.2	28536274	28545276	TSG	TSGene
CEACAM1	634	ENSG00000079385	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein) [Source:HGNC Symbol;Acc:1814]	19	19q13.2	43011456	43065386	TSG	TSGene
CEBPA	1050	ENSG00000245848	CCAAT/enhancer binding protein (C/EBP), alpha [Source:HGNC Symbol;Acc:1833]	19	19q13.11	33790840	33793470	TSG	TSGene
CEBPD	-2842	ENSG00000221869	CCAAT/enhancer binding protein (C/EBP), delta [Source:HGNC Symbol;Acc:1835]	8	8q11.21	48649471	48651648	TSG	TSGene
CFTR	1080	ENSG00000001626	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7) [Source:HGNC Symbol;Acc:1884]	7	7q31.2	117105838	117356025	TSG	TSGene
CHD1	1105	ENSG00000153922	chromodomain helicase DNA binding protein 1 [Source:HGNC Symbol;Acc:1915]	5	5q15	98190908	98262240	TSG	TSGene
CHD5	26038	ENSG00000116254	chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:16816]	1	1p36.31	6161853	6240183	TSG	TSGene
CHEK1	1111	ENSG00000149554	checkpoint kinase 1 [Source:HGNC Symbol;Acc:1925]	11	11q24.2	125495036	125546150	TSG	TSGene
CHEK2	11200	ENSG00000183765	checkpoint kinase 2 [Source:HGNC Symbol;Acc:16627]	22	22q12.1	29083731	29138410	TSG	TSGene
CHFR	55743	ENSG00000072609	checkpoint with forkhead and ring finger domains, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:20455]	12	12q24.33	133398773	133532890	TSG	TSGene
CHST10	9486	ENSG00000115526	carbohydrate sulfotransferase 10 [Source:HGNC Symbol;Acc:19650]	2	2q11.2	101008327	101034118	TSG	TSGene
CHUK	1147	ENSG00000213341	conserved helix-loop-helix ubiquitous kinase [Source:HGNC Symbol;Acc:1974]	10	10q24.31	101948055	101989376	TSG	TSGene
CIC	23152	ENSG00000079432	capicua transcriptional repressor [Source:HGNC Symbol;Acc:14214]	19	19q13.2	42772689	42799949	TSG	TSGene
CITED2	10370	ENSG00000164442	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2 [Source:HGNC Symbol;Acc:1987]	6	6q24.1	139693393	139695757	TSG	TSGene
CIZ1	25792	ENSG00000148337	CDKN1A interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:16744]	9	9q34.11	130928343	130966662	TSG	TSGene
CLDN1	9076	ENSG00000163347	claudin 1 [Source:HGNC Symbol;Acc:2032]	3	3q28	190023490	190040264	TSG	TSGene
CLDN23	137075	ENSG00000253958	claudin 23 [Source:HGNC Symbol;Acc:17591]	8	8p23.1	8559448	8561616	TSG	TSGene
CLU	1191	ENSG00000120885	clusterin [Source:HGNC Symbol;Acc:2095]	8	8p21.1	27454434	27472548	TSG	TSGene
CMTM3	123920	ENSG00000140931	CKLF-like MARVEL transmembrane domain containing 3 [Source:HGNC Symbol;Acc:19174]	16	16q21	66637777	66647795	TSG	TSGene
CMTM5	116173	ENSG00000166091	CKLF-like MARVEL transmembrane domain containing 5 [Source:HGNC Symbol;Acc:19176]	14	14q11.2	23846017	23848981	TSG	TSGene
CNDP2	55748	ENSG00000133313	CNDP dipeptidase 2 (metallopeptidase M20 family) [Source:HGNC Symbol;Acc:24437]	18	18q22.3	72163051	72188366	TSG	TSGene
CNN1	1264	ENSG00000130176	calponin 1, basic, smooth muscle [Source:HGNC Symbol;Acc:2155]	19	19p13.2	11649532	11661138	TSG	TSGene
CNOT3	4849	ENSG00000088038	CCR4-NOT transcription complex, subunit 3 [Source:HGNC Symbol;Acc:7879]	19	19q13.42	54641444	54659419	TSG	TSGene
CNTNAP2	26047	ENSG00000174469	contactin associated protein-like 2 [Source:HGNC Symbol;Acc:13830]	7	7q35	145813453	148118090	TSG	TSGene
COPS2	9318	ENSG00000166200	COP9 signalosome subunit 2 [Source:HGNC Symbol;Acc:30747]	15	15q21.1	49398268	49447858	TSG	TSGene
CPNE7	27132	ENSG00000178773	copine VII [Source:HGNC Symbol;Acc:2320]	16	16q24.3	89642176	89663654	TSG	TSGene
CREB3L1	90993	ENSG00000157613	cAMP responsive element binding protein 3-like 1 [Source:HGNC Symbol;Acc:18856]	11	11p11.2	46299212	46342972	TSG	TSGene
CREBBP	1387	ENSG00000005339	CREB binding protein [Source:HGNC Symbol;Acc:2348]	16	16p13.3	3775055	3930727	TSG	TSGene
CREM	1390	ENSG00000095794	cAMP responsive element modulator [Source:HGNC Symbol;Acc:2352]	10	10p11.21	35415719	35501886	TSG	TSGene
CRNN	49860	ENSG00000143536	cornulin [Source:HGNC Symbol;Acc:1230]	1	1q21.3	152381719	152386739	TSG	TSGene
CSF2	1437	ENSG00000164400	colony stimulating factor 2 (granulocyte-macrophage) [Source:HGNC Symbol;Acc:2434]	5	5q31.1	131409483	131411859	TSG	TSGene
CSMD1	64478	ENSG00000183117	CUB and Sushi multiple domains 1 [Source:HGNC Symbol;Acc:14026]	8	8p23.2	2792875	4852494	TSG	TSGene
CSNK1A1	1452	ENSG00000113712	casein kinase 1, alpha 1 [Source:HGNC Symbol;Acc:2451]	5	5q32	148871760	148931007	TSG	TSGene
